排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,688825,长鑫科技,75.11,,,54.3,-1.27,128.8,75.0,44.44,75.0
2,601398,工商银行,-2.73,70.57,63.24,7.52,-1.83,7.22,87.38,0.68,51.3
3,601939,建设银行,-8.07,64.85,74.47,9.96,-1.39,7.62,93.67,0.73,64.83
4,601288,农业银行,-4.03,76.39,22.28,6.48,-1.97,7.71,89.16,0.8,75.53
5,600941,中国移动,34.75,92.48,53.98,95.99,-0.45,15.33,40.9,1.46,31.44
6,601857,中国石油,23.18,105.34,29.01,10.63,-2.12,12.3,53.89,1.2,84.98
7,300750,宁德时代,86.49,85.04,46.03,405.2,2.56,22.06,17.89,4.94,35.07
8,601988,中国银行,-5.67,61.68,71.39,5.73,-1.55,7.53,91.17,0.68,71.31
9,600519,贵州茅台,38.33,100.72,41.08,1306.45,-1.65,19.74,4.13,6.03,2.02
10,600938,中国海油,15.68,61.21,11.42,30.69,-2.76,11.7,88.09,1.74,65.99
11,601138,工业富联,96.01,28.29,39.98,65.92,9.99,32.18,90.66,7.42,93.74
12,300308,中际旭创,62.72,3.87,43.69,947.74,-7.27,74.16,79.61,31.15,97.46
13,601628,中国人寿,-1.13,78.18,23.83,38.05,1.04,7.43,5.57,1.8,19.39
14,688981,中芯国际,21.89,2.11,44.95,125.45,3.59,212.86,91.01,7.17,93.6
15,600036,招商银行,12.47,95.78,63.77,38.94,-0.87,6.51,24.42,0.87,8.97
16,601318,中国平安,27.64,101.74,12.83,54.02,0.17,7.37,7.63,0.96,20.92
17,601088,中国神华,-2.22,59.24,36.99,43.0,-0.35,18.09,96.26,1.94,85.46
18,601899,紫金矿业,77.19,116.44,28.88,34.1,6.16,14.7,19.58,4.6,85.65
19,002594,比亚迪,17.98,95.03,43.43,90.82,-0.36,30.06,28.89,3.57,30.04
20,688256,寒武纪,39.76,-0.27,50.51,1136.9,5.44,262.9,81.94,55.5,92.3
21,600900,长江电力,-6.23,75.02,81.51,27.76,-1.91,18.82,47.55,2.98,68.09
22,688041,海光信息,39.31,11.26,45.62,288.85,4.9,246.28,90.66,28.57,93.98
23,000333,美的集团,20.2,90.72,84.81,85.47,0.39,14.75,53.36,2.81,43.14
24,601328,交通银行,4.29,88.13,66.51,6.93,-1.56,6.35,84.74,0.53,48.22
25,600028,中国石化,-2.96,94.65,2.53,4.98,-2.35,16.94,84.98,0.72,32.15
26,601658,邮储银行,-10.72,78.87,35.78,4.96,-1.2,6.78,57.47,0.58,6.08
27,300502,新易盛,56.39,8.41,45.39,424.3,-5.29,55.08,56.48,29.03,96.31
28,601728,中国电信,34.4,95.45,53.47,6.23,-0.95,18.0,60.17,1.22,58.92
29,002371,北方华创,55.81,25.93,55.72,734.2,6.87,95.55,46.55,13.56,85.56
30,603259,药明康德,103.21,99.52,98.89,147.5,4.35,20.31,25.51,5.28,45.93
31,688347,华虹宏力,19.02,7.54,47.77,252.5,6.56,889.27,80.03,9.7,95.87
32,603993,洛阳钼业,72.25,76.45,20.38,20.47,6.67,18.13,29.65,4.93,96.21
