排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,00700,腾讯控股,43.61,-0.02,2.32,64.96,11.29,7.85,426.0,-1.71,14.52,,2.96,,439.32,451.207,0.0,-3.03,0.97,0.78,69.06,,,
2,00005,汇丰控股,-2.65,34.44,83.37,1.92,65.37,91.26,159.8,-0.68,14.54,,2.02,,162.93,159.717,1.0,-1.92,0.94,0.82,12.98,,,
3,01398,工商银行,27.81,85.67,89.91,26.85,97.65,89.58,7.52,-0.2,6.33,,0.59,,7.551,7.197,1.0,-0.41,0.93,0.73,8.17,,,
4,00939,建设银行,43.58,98.66,97.77,42.98,105.16,96.68,9.68,0.42,6.44,,0.61,,9.511,8.895,1.0,1.72,0.75,0.76,15.33,,,
5,03750,宁德时代,19.87,2.33,14.3,13.36,3.42,43.13,507.0,1.2,24.35,,5.37,,576.825,618.667,0.0,-12.11,0.82,1.35,15.45,,,
6,01288,农业银行,23.4,77.19,88.25,27.08,90.48,85.23,6.32,-0.63,6.55,,0.67,,6.35,5.973,1.0,-0.47,0.82,0.78,3.87,,,
7,09988,阿里巴巴-W,14.45,-2.34,15.59,24.7,21.54,18.19,105.1,-1.04,24.6,,1.66,,110.775,112.302,0.0,-5.12,1.01,0.61,53.12,,,
8,03988,中国银行,44.23,98.27,98.05,40.27,104.6,98.64,5.99,0.17,6.83,,0.61,,5.841,5.413,1.0,2.55,0.92,0.86,9.0,,,
9,00857,中国石油股份,-7.59,40.51,29.55,-6.47,84.18,37.29,9.56,-2.35,8.73,,0.93,,10.056,9.679,1.0,-4.93,0.97,1.0,7.02,,,
10,00941,中国移动,69.53,3.22,27.17,51.19,14.83,32.83,79.2,-0.19,11.43,,1.02,,79.645,80.262,0.0,-0.56,0.99,0.7,6.83,,,
11,03308,中际旭创,54.19,59.26,,51.38,51.79,,1150.0,1.14,58.16,,27.95,,1079.6,,,6.52,0.71,0.77,15.78,,,
12,03968,招商银行,4.07,79.6,83.27,-0.65,94.63,69.84,51.3,-0.1,7.52,,0.98,,51.103,48.714,1.0,0.39,0.71,0.65,3.85,,,
13,00883,中国海洋石油,-7.01,54.21,25.91,-5.56,85.3,29.7,23.88,-1.97,7.2,,1.15,,24.975,23.593,1.0,-4.38,1.08,1.2,16.62,,,
14,01088,中国神华,19.17,76.74,50.62,37.49,102.42,52.74,44.72,-1.15,15.55,,1.83,,45.584,43.502,1.0,-1.9,0.82,0.93,3.73,,,
15,02318,中国平安,-2.14,13.82,1.89,-10.85,45.67,11.51,52.85,0.09,5.28,,0.81,,55.595,55.222,1.0,-4.94,0.65,0.62,12.07,,,
16,02899,紫金矿业,7.5,47.49,27.04,8.99,68.23,26.33,33.86,-1.63,11.71,,3.87,,36.434,33.631,1.0,-7.06,0.84,0.71,13.12,,,
17,02628,中国人寿,-1.23,61.0,33.67,-7.32,81.3,39.01,28.64,0.35,2.89,,1.06,,29.47,28.509,1.0,-2.82,1.04,0.74,10.87,,,
18,01299,友邦保险,80.36,74.11,20.38,54.47,62.42,17.12,77.35,0.45,12.85,,2.51,,75.93,75.107,1.0,1.87,0.74,0.62,14.73,,,
19,00300,美的集团,44.25,78.88,99.28,41.87,90.48,95.76,99.2,0.56,14.96,,3.08,,99.31,94.974,1.0,-0.11,0.65,0.68,2.83,,,
20,01211,比亚迪股份,35.38,5.23,34.88,12.77,16.33,45.7,81.15,2.46,22.22,,2.68,,85.853,86.808,0.0,-5.48,0.94,0.96,13.59,,,
21,03328,交通银行,98.4,113.34,109.79,88.68,111.25,97.4,8.18,0.68,6.54,,0.54,,7.85,7.379,1.0,4.2,0.58,0.95,2.4,,,
22,01810,小米集团-W,23.91,12.04,28.4,27.37,31.96,25.67,26.14,-0.15,18.0,,2.17,,27.327,26.603,1.0,-4.34,0.85,0.65,23.19,,,
23,01658,邮储银行,43.45,93.72,90.33,23.71,95.8,65.17,5.42,0.46,6.38,,0.54,,5.266,4.973,1.0,2.92,0.79,0.56,1.36,,,
24,02359,药明康德,89.44,67.16,88.2,79.11,61.49,85.49,198.0,1.49,23.94,,6.12,,195.375,177.527,1.0,1.34,1.04,0.51,5.94,,,
25,09999,网易,62.72,-1.85,30.46,68.92,-3.16,42.99,185.1,-0.91,16.06,,3.09,,189.115,196.835,0.0,-2.12,0.81,0.75,9.2,,,
26,02388,中银香港,23.98,84.06,91.67,11.87,97.45,94.79,51.95,1.17,13.17,,1.52,,51.681,49.322,1.0,0.52,0.96,1.12,6.42,,,
27,00386,中国石油化工股份,-3.78,64.07,26.61,-1.68,101.72,26.79,4.5,-2.17,13.44,,0.56,,4.72,4.396,1.0,-4.56,1.11,1.1,5.82,,,
28,00981,中芯国际,23.17,5.9,30.33,21.65,9.99,46.41,62.4,-1.96,65.79,,2.71,,66.735,70.843,0.0,-6.5,0.69,0.49,20.73,,,
29,02888,渣打集团,60.66,87.75,97.33,65.28,86.07,93.85,243.4,-0.25,12.56,,1.47,,236.67,229.957,1.0,2.84,1.1,1.24,2.21,,,
30,00388,香港交易所,20.14,9.3,45.75,25.79,43.31,62.58,388.6,-1.77,24.88,,8.12,,407.12,399.507,1.0,-4.55,2.08,1.88,23.79,,,
31,00998,中信银行,72.97,103.86,90.6,80.37,109.69,70.71,8.41,-0.77,5.75,,0.54,,8.316,7.604,1.0,1.19,0.93,0.93,1.74,,,
32,03690,美团-W,-1.1,-9.47,35.38,2.76,8.43,48.97,72.9,-2.08,-10.55,,2.31,,77.855,82.03,0.0,-6.36,1.12,0.72,19.89,,,
33,02475,立讯精密,11.32,36.87,,20.19,52.29,,56.7,-3.08,21.8,,3.87,,60.425,,,-6.16,0.44,0.35,0.76,,,
34,09633,农夫山泉,7.66,2.6,-2.07,9.73,22.46,12.55,38.96,-1.07,22.54,,10.24,,41.483,41.881,0.0,-6.08,1.1,0.92,2.14,,,
35,00992,联想集团,97.2,82.41,101.81,88.26,68.27,92.2,34.32,1.54,68.24,,7.53,,31.289,27.176,1.0,9.69,0.75,0.51,19.45,,,
