排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,688825,长鑫科技,79.38,,,54.99,1.89,130.44,100.0,45.0,100.0
2,601398,工商银行,76.18,98.85,86.38,7.96,-0.38,7.64,94.76,0.72,66.86
3,601939,建设银行,62.14,85.64,88.78,10.45,-3.69,8.0,97.07,0.77,71.37
4,601288,农业银行,72.7,100.55,37.83,6.89,-0.14,8.19,93.61,0.85,86.65
5,600941,中国移动,92.28,109.0,65.53,98.97,1.6,15.8,49.01,1.51,37.55
6,601857,中国石油,74.85,117.53,35.75,11.05,-0.27,12.78,56.2,1.24,91.59
7,601988,中国银行,74.22,91.59,93.41,6.03,-0.5,7.92,98.7,0.71,83.72
8,300750,宁德时代,80.56,72.67,40.14,394.4,-0.23,21.47,16.29,4.81,31.26
9,600519,贵州茅台,98.2,119.96,51.59,1358.98,0.62,20.54,11.48,6.27,2.79
10,600938,中国海油,46.61,69.57,16.39,31.85,-1.27,12.14,89.61,1.81,73.72
11,601138,XD工业富,24.11,-0.92,19.25,55.9,-0.27,27.29,87.77,6.29,89.03
12,601628,中国人寿,3.8,81.79,25.65,38.51,-2.56,7.52,5.76,1.82,21.66
13,300308,中际旭创,27.07,-1.78,39.83,902.5,0.05,70.62,76.51,29.66,97.36
14,600036,招商银行,87.65,113.39,78.78,40.36,1.87,6.75,30.16,0.9,15.37
15,601318,中国平安,90.92,114.88,17.37,55.55,1.18,7.58,11.58,0.99,26.99
16,688981,中芯国际,-6.49,-10.28,36.78,116.5,-6.04,197.67,84.46,6.66,90.66
17,601088,中国神华,12.22,63.8,41.55,43.73,-4.29,18.39,96.54,1.97,88.09
18,601899,紫金矿业,66.67,107.91,22.89,32.55,-1.21,14.03,13.45,4.39,82.61
19,002594,比亚迪,82.07,109.62,51.68,94.45,-1.38,31.26,30.84,3.71,32.23
20,600900,长江电力,60.43,98.86,100.84,29.05,-0.14,19.7,56.87,3.12,80.98
21,000333,美的集团,48.72,92.66,86.37,85.9,-1.94,14.82,53.75,2.82,43.76
22,688256,寒武纪,6.11,-14.17,41.79,1028.0,-7.05,237.72,80.41,50.18,87.85
23,601328,交通银行,86.63,110.39,87.03,7.25,0.97,6.64,91.31,0.55,57.01
24,600028,中国石化,85.08,120.58,9.07,5.28,0.38,17.96,86.46,0.77,37.51
25,601658,邮储银行,73.63,104.1,52.51,5.14,-0.77,7.02,70.27,0.6,15.21
26,688041,海光信息,-0.31,-4.27,34.75,261.0,-5.78,222.54,83.26,25.82,88.88
27,601728,中国电信,90.34,113.57,62.16,6.47,2.7,18.69,74.79,1.26,67.53
28,300502,新易盛,16.36,-0.23,39.11,394.08,-0.49,51.16,50.72,26.96,95.0
29,002371,北方华创,1.54,7.85,42.48,641.3,-6.65,83.46,42.36,11.84,78.91
