排名,代码,名称,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,601398,工商银行,73.4,72.02,45.38,7.26,88.37,0.68,53.45
2,601939,建设银行,80.31,70.0,82.66,7.8,96.33,0.75,69.18
3,601288,农业银行,79.39,62.2,-0.27,7.65,89.05,0.8,74.63
4,600941,中国移动,88.96,65.17,31.7,15.16,37.85,1.45,29.21
5,601857,中国石油,88.0,84.76,22.36,12.35,54.41,1.2,85.77
6,601988,中国银行,65.25,60.21,70.9,7.72,96.33,0.69,79.59
7,300750,宁德时代,95.32,23.37,38.06,22.39,18.8,4.95,34.76
8,600519,贵州茅台,90.17,86.27,28.57,19.77,4.2,6.04,1.88
9,600938,中国海油,84.2,44.07,10.5,11.79,89.32,1.76,69.51
10,688981,中芯国际,32.53,63.42,92.21,271.47,98.01,9.14,96.71
11,300308,中际旭创,52.79,13.0,77.38,84.79,89.19,35.62,98.75
12,601138,工业富联,23.5,-1.83,43.43,29.77,89.44,6.87,91.06
13,601628,中国人寿,78.81,102.37,18.78,7.84,7.04,1.9,31.5
14,601088,中国神华,83.56,57.77,41.31,18.97,98.02,2.03,92.96
15,600036,招商银行,68.04,90.04,27.89,6.36,21.71,0.85,5.55
16,601318,中国平安,83.2,64.93,-1.97,7.21,5.16,0.94,17.9
17,002594,比亚迪,80.68,89.07,39.1,31.21,30.68,3.71,32.03
18,688256,寒武纪,29.64,18.04,84.35,312.19,88.46,65.9,96.5
19,601899,紫金矿业,99.52,71.02,3.08,13.02,8.15,4.07,76.17
20,688041,海光信息,32.62,55.24,84.33,293.76,98.85,34.08,98.85
21,300502,新易盛,70.13,49.68,91.42,71.63,77.57,37.75,99.23
22,600900,长江电力,79.96,92.03,82.08,19.48,54.32,3.08,78.1
23,688347,华虹宏力,61.45,86.69,101.42,1400.93,86.99,15.28,99.86
24,000333,美的集团,86.71,94.96,83.44,14.53,51.81,2.77,40.18
25,600028,中国石化,86.84,106.1,-3.79,17.42,85.77,0.74,34.64
26,601658,邮储银行,64.87,88.43,20.55,6.9,64.04,0.59,10.74
27,601328,交通银行,69.36,77.42,31.14,6.24,81.43,0.52,45.88
28,601728,中国电信,85.98,68.82,31.74,17.62,52.06,1.19,50.21
29,002371,北方华创,21.1,30.34,73.4,96.91,46.99,13.75,86.59
30,688825,长鑫科技,,,,,,,
31,002475,立讯精密,40.72,2.9,53.63,27.11,40.81,5.28,44.96
32,688235,百济神州,54.39,88.84,49.05,134.26,95.87,12.86,79.51
33,002384,东山精密,21.85,37.67,83.72,207.39,98.55,18.69,98.89
34,600030,中信证券,64.21,69.04,79.7,12.47,6.32,1.44,42.4
35,601998,中信银行,80.05,64.24,25.99,5.85,63.05,0.56,52.92
36,603993,洛阳钼业,97.79,33.01,11.58,16.55,22.77,4.5,91.37
37,688012,中微公司,27.17,52.36,84.44,143.17,73.9,16.07,79.55
38,601166,兴业银行,70.32,64.63,19.67,4.88,31.79,0.46,5.45
39,603259,药明康德,47.88,85.32,86.0,18.74,19.38,4.48,33.08
40,600276,恒瑞医药,30.47,88.0,30.56,44.9,6.17,5.73,4.1
41,688802,沐曦股份-U,26.27,58.56,97.6,-546.66,3.52,27.37,93.66
42,601869,长飞光纤,45.41,0.48,72.03,290.75,95.82,23.64,98.35
43,603986,兆易创新,14.11,3.19,59.06,116.08,65.22,13.2,80.99
44,601211,国泰海通,82.34,78.18,44.83,15.11,63.43,1.02,37.39
45,600183,生益科技,28.27,23.35,69.31,83.89,98.5,18.38,98.5
46,601319,中国人保,77.06,94.51,1.62,7.69,11.5,1.03,29.07
47,002415,海康威视,64.78,84.45,84.52,21.54,27.26,3.74,21.37
48,300059,东方财富,76.57,71.69,27.72,24.49,7.57,3.36,14.57
49,601601,中国太保,96.64,75.68,-1.22,5.64,1.35,0.95,10.37
50,688795,摩尔线程-U,15.3,24.24,46.08,-352.57,27.33,26.29,55.33
51,600000,浦发银行,75.53,77.33,5.46,5.93,66.14,0.4,24.6
52,000858,五 粮 液,93.72,42.65,7.37,22.91,32.8,2.26,0.77
53,688820,盛合晶微,7.91,4.67,,274.24,24.19,18.69,24.19
54,688008,澜起科技,19.18,4.23,65.05,104.8,79.67,12.86,83.79
55,300394,天孚通信,27.1,2.7,55.0,116.02,95.27,42.14,95.61
56,600150,中国船舶,7.66,5.98,24.83,21.94,25.86,1.66,18.48
57,601816,京沪高铁,86.44,76.82,47.65,18.1,2.47,1.15,3.3
58,002916,深南电路,19.43,12.66,68.88,65.6,96.38,13.18,92.04
59,300476,胜宏科技,27.45,-5.22,26.7,50.46,84.23,13.57,89.1
60,002463,沪电股份,31.73,26.77,76.36,54.84,97.88,14.05,98.22
61,002379,宏桥控股,94.76,53.64,-3.95,11.93,72.21,4.5,82.63
62,000725,京东方Ａ,14.26,26.77,63.15,39.28,58.71,1.72,75.83
63,601225,陕西煤业,68.14,56.17,43.94,14.38,97.15,2.28,79.74
64,000338,潍柴动力,38.26,2.35,60.27,20.29,91.61,2.41,79.5
65,002714,牧原股份,66.37,94.87,19.34,23.27,68.79,2.64,1.83
66,000651,格力电器,90.92,94.72,80.05,7.79,29.43,1.5,5.5
67,601919,中远海控,89.02,102.33,24.85,9.06,57.5,0.96,26.48
68,301666,大普微-UW,35.97,-4.55,,17324.06,29.23,280.39,29.23
69,600309,万华化学,94.27,42.24,21.02,17.06,59.82,2.02,7.48
70,688072,拓荆科技,12.84,59.87,80.85,135.14,84.19,30.66,98.45
71,002938,鹏鼎控股,42.45,20.39,72.67,59.68,98.21,6.39,96.68
72,300274,阳光电源,13.38,-10.72,9.3,18.09,32.13,4.43,41.15
73,300408,三环集团,26.62,3.38,65.99,74.31,98.17,9.54,98.17
74,603288,海天味业,91.23,95.21,41.05,29.36,2.17,5.09,2.75
75,000001,平安银行,72.78,65.94,34.63,4.89,22.14,0.45,2.99
76,600188,兖矿能源,98.47,18.03,49.24,22.0,97.68,2.75,82.54
77,600919,江苏银行,58.01,56.32,81.21,5.88,76.36,0.79,83.31
78,002142,宁波银行,69.2,76.77,63.83,6.88,29.81,0.89,26.58
79,601066,中信建投,26.65,45.96,65.68,18.35,10.3,2.4,24.67
80,003816,中国广核,95.61,26.05,29.33,21.62,89.71,1.63,67.52
81,600690,海尔智家,94.32,95.19,12.6,10.95,5.35,1.64,3.67
82,688808,联讯仪器,36.2,19.64,,748.9,50.85,199.42,50.85
83,001399,惠科股份,22.45,2.44,,53.74,27.78,7.7,27.78
84,300433,蓝思科技,30.7,6.39,55.0,58.77,83.84,3.7,84.13
85,300604,长川科技,22.78,53.26,85.67,128.26,55.28,39.61,99.66
86,601336,新华保险,64.78,93.95,6.47,5.46,4.2,1.63,52.1
87,601668,中国建筑,85.86,96.51,32.14,5.04,58.61,0.39,0.87
88,600406,国电南瑞,106.33,44.5,14.22,22.98,23.73,3.57,30.78
89,600025,华能水电,85.58,100.8,66.42,22.23,80.22,2.68,77.04
90,688498,源杰科技,33.18,48.89,80.14,528.01,70.67,74.46,97.34
91,601688,华泰证券,84.96,63.96,21.98,10.62,30.05,1.05,43.95
92,300760,迈瑞医疗,94.08,86.77,17.23,23.55,5.73,4.6,1.96
93,601985,中国核电,84.61,51.67,74.7,22.41,86.4,1.54,31.64
94,601818,光大银行,66.96,80.28,19.5,4.87,41.87,0.37,1.78
95,601898,中煤能源,86.32,22.75,12.07,10.3,49.59,1.11,85.43
96,600031,三一重工,83.63,87.0,12.55,21.5,47.42,2.0,16.98
97,600930,华电新能,28.43,1.34,3.48,28.08,5.28,1.63,1.22
98,000776,广发证券,90.71,59.8,64.08,11.43,8.25,1.3,78.24
99,301308,江波龙,15.92,-0.58,57.35,32.82,48.96,14.65,87.06
100,002352,顺丰控股,87.44,66.1,25.43,15.63,1.69,1.78,1.69
