排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,688825,长鑫科技,0.41,71.86,,21.96,79.76,,54.22,-0.5,44.99,2.7,27.32,40.54,56.779,,,-4.51,0.96,0.53,98.44,2.7,40.54,半导体
2,601398,工商银行,72.43,89.71,101.12,73.81,90.28,92.17,8.13,-1.09,7.74,95.84,0.73,69.95,7.994,7.669,1.0,1.7,0.8,0.62,17.3,96.94,94.46,银行Ⅱ
3,601939,建设银行,64.93,87.52,101.93,76.43,93.76,104.26,10.93,-1.62,8.25,97.4,0.8,74.11,10.814,10.306,1.0,1.07,1.08,0.87,11.96,99.17,99.26,银行Ⅱ
4,601288,农业银行,60.44,86.17,57.69,72.13,95.38,38.97,6.9,-1.43,8.11,92.29,0.84,84.57,6.879,6.579,1.0,0.31,0.85,0.63,16.95,86.61,86.78,银行Ⅱ
5,600941,中国移动,12.0,73.57,85.59,9.68,88.69,65.84,97.79,-0.38,16.09,57.51,1.49,36.26,98.289,94.814,1.0,-0.51,0.63,0.52,4.74,57.51,36.26,通信服务
6,601988,中国银行,65.37,92.33,104.3,69.58,95.24,103.35,6.57,-1.05,8.5,99.86,0.77,94.32,6.376,6.017,1.0,3.04,0.88,0.74,12.95,99.75,99.75,银行Ⅱ
7,601857,中国石油,25.86,71.74,44.23,24.25,94.58,41.68,11.11,0.63,11.55,49.31,1.24,90.53,11.194,10.502,1.0,-0.75,0.62,0.7,9.69,81.74,89.67,炼化及贸易
8,600519,贵州茅台,1.85,20.57,35.34,3.17,63.08,39.7,1272.75,-0.41,19.54,3.08,6.33,2.37,1296.301,1278.524,1.0,-1.82,0.57,0.44,17.57,5.37,4.13,白酒Ⅱ
9,600938,中国海油,32.65,79.56,30.99,46.84,94.45,28.65,33.45,-1.36,11.49,84.86,1.86,76.54,33.814,31.413,1.0,-1.08,0.63,0.75,11.8,84.86,76.54,油气开采Ⅱ
10,300750,宁德时代,13.43,-8.77,-5.95,34.8,4.11,24.09,316.36,-6.16,17.22,4.33,3.86,3.49,358.164,375.026,0.0,-11.67,1.38,1.91,155.59,7.19,5.54,电池
11,601138,工业富联,-7.18,57.54,31.96,11.0,70.06,37.74,60.8,-1.25,25.72,85.76,6.86,89.75,62.96,63.694,0.0,-3.43,0.78,0.49,37.69,76.78,84.21,消费电子
12,601628,中国人寿,8.0,14.49,27.31,21.51,28.09,25.61,37.62,-1.72,4.29,0.05,1.6,5.11,38.123,38.136,0.0,-1.32,0.64,0.5,6.14,0.08,8.93,保险Ⅱ
13,600036,招商银行,58.88,93.05,99.05,94.2,100.41,76.24,41.1,-1.75,6.83,32.84,0.91,17.04,40.408,38.678,1.0,1.71,0.92,0.78,23.41,57.36,29.75,银行Ⅱ
14,601088,中国神华,52.87,77.19,76.12,50.58,92.75,73.1,46.98,-0.47,18.88,96.69,2.26,98.44,47.273,44.389,1.0,-0.62,0.63,0.57,7.43,94.21,97.27,煤炭开采
15,300308,中际旭创,59.19,18.15,26.49,79.02,17.33,35.52,864.01,-1.03,49.76,54.71,25.53,95.31,872.891,996.775,0.0,-1.02,0.71,0.55,156.14,59.83,91.82,通信设备
16,688981,中芯国际,-1.56,-7.06,29.78,-7.62,-4.48,47.92,114.86,0.69,136.45,63.28,5.74,81.71,122.465,135.645,0.0,-6.21,0.97,0.61,29.43,60.83,81.82,半导体
17,601318,中国平安,-11.52,64.44,23.44,-5.08,89.07,18.17,53.9,-1.52,6.13,0.09,0.95,19.4,54.645,52.002,1.0,-1.36,0.9,0.69,26.78,0.17,33.88,保险Ⅱ
18,601899,紫金矿业,6.82,56.64,30.03,30.87,77.28,28.84,31.68,-1.77,12.45,5.82,4.17,77.52,33.563,31.065,1.0,-5.61,0.6,0.51,41.47,10.17,77.44,工业金属
19,002594,比亚迪,34.38,-0.65,25.44,33.88,11.65,37.48,84.3,-1.32,26.11,22.57,3.2,25.22,88.108,88.762,0.0,-4.32,0.76,0.65,16.43,39.42,0.66,乘用车
20,600900,长江电力,82.19,47.43,90.65,78.34,57.09,86.46,28.5,-0.45,19.26,52.86,3.23,85.99,28.24,27.865,1.0,0.92,0.64,0.62,17.31,24.63,75.62,电力
21,688256,寒武纪,42.16,21.61,38.3,17.3,10.05,48.54,1075.79,3.44,203.03,78.14,49.91,86.7,1054.883,1199.695,0.0,1.98,1.34,0.91,116.05,72.98,83.55,半导体
22,601328,交通银行,93.01,102.53,107.97,98.76,103.83,86.39,7.56,-0.79,6.85,93.85,0.57,66.49,7.292,6.957,1.0,3.68,0.76,0.77,9.32,92.89,83.88,银行Ⅱ
23,000333,美的集团,64.38,74.51,95.47,48.44,76.5,93.01,87.23,0.5,15.0,55.37,3.14,51.87,86.341,83.464,1.0,1.03,0.97,0.86,17.23,85.54,88.26,白色家电
24,601658,邮储银行,21.91,75.58,83.89,44.96,78.9,63.66,5.39,-1.1,7.22,77.47,0.62,26.07,5.261,5.081,1.0,2.45,1.0,0.84,8.15,87.36,35.37,银行Ⅱ
25,600028,中国石化,-3.09,64.46,17.16,19.19,94.59,13.0,5.29,-1.49,17.78,85.57,0.76,36.73,5.391,5.104,1.0,-1.87,0.84,0.81,10.2,84.63,35.12,炼化及贸易
26,601728,中国电信,72.19,79.15,69.57,65.91,87.46,58.51,6.28,0.32,19.31,78.6,1.22,58.18,6.255,5.95,1.0,0.4,0.85,0.75,5.13,78.43,57.69,通信服务
27,300502,新易盛,39.48,20.01,30.04,61.07,20.51,40.73,397.01,-1.22,42.21,34.07,22.79,91.01,406.531,461.256,0.0,-2.34,0.75,0.56,97.27,46.45,84.3,通信设备
28,688041,海光信息,1.43,-6.18,6.29,-1.12,-5.22,31.98,224.6,0.41,166.16,55.19,20.57,71.8,240.297,290.484,0.0,-6.53,0.91,0.75,33.55,55.19,71.8,半导体
29,601998,中信银行,75.09,107.37,101.7,72.76,109.9,82.25,8.98,0.45,6.97,92.38,0.67,77.9,8.724,7.864,1.0,2.93,1.18,0.8,4.23,99.01,98.35,银行Ⅱ
