排名,代码,名称,最新价,总市值,流通市值,行业,成交额,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
79,300760,迈瑞医疗,160.3,194251448789,194069141844,医疗器械,661391086.65,12.01,5.9963299224,47.97,-5.365709111143,60.8335255872
80,688801,C燧原-U,444.97,191493608408,7965107615,半导体,1876546998.0,0.0,279.0823773754,-6.32,-3.574832369726,30.3730795028
81,688802,沐曦股份-U,475.02,190055502000,8801453197,半导体,787228605.0,4.53,44.6659638137,6.12,429.462930125319,57.2152440602
82,688836,宇树科技-W,469.8,190017346932,14135210856,自动化设备,1199793431.0,9.99,48.5389986228,2.74,955.594582876599,56.0089333697
83,688072,拓荆科技,649.0,189620452230,184437556402,半导体,4470900144.0,18.11,49.060715147,13.43,1324.09901284204,41.0042896167
84,601898,中煤能源,14.26,189068540084,130507525704,煤炭开采,390436972.0,4.95,-1.7610159657,81.49,5.825484910589,26.9192171517
85,600176,中国巨石,47.09,188507708522,187022033149,玻璃玻纤,14675019664.0,9.06,22.50258137,29.33,73.871870644216,42.1382635808
86,601985,中国核电,9.02,185523378707,170327229500,电力,555015282.0,3.05,-6.2848823048,36.41,-35.740640009377,36.4732695406
87,600025,华能水电,9.78,182212101833,182212101833,电力,228682644.0,5.91,1.4544203223,43.76,-5.049088925195,57.1891827428
88,601066,中信建投,23.4,181506658250,151998702219,证券Ⅱ,271391613.0,8.27,51.1077143242,76.39,69.437027116444,0.0
89,601336,新华保险,57.63,179779470558,120183869164,保险Ⅱ,619394254.0,18.87,18.8703759227,227.93,54.017163321846,0.0
90,600989,宝丰能源,24.46,179373985600,179373985600,化学原料,1575329605.0,18.61,32.3321115262,97.28,70.137377080532,43.5632332124
91,600031,三一重工,19.49,179210636477,165165861821,工程机械,704392907.0,6.16,19.4868647877,56.9,9.131357029292,27.7819043049
92,601818,光大银行,3.03,179029219715,140612651150,银行Ⅱ,456558076.0,3.28,-4.3235535059,187.11,-24.006985622614,0.0
93,601668,中国建筑,4.29,177264475005,177264475005,房屋建设Ⅱ,961623328.0,4.61,-11.9615548688,230.0,-24.340999953882,10.2935341527
94,600406,国电南瑞,21.99,176618317870,176099793802,电网设备,687153458.0,5.73,14.5359559071,30.73,4.08163089096,25.3392957491
95,300274,阳光电源,84.38,174937579957,133955500752,光伏设备,2865354684.15,10.73,-28.9913921923,52.59,-32.012976909209,35.92153915
96,300433,蓝思科技,32.86,173459424988,162717396516,消费电子,1434296045.61,1.05,-12.4203656668,5.77,-49.521477587713,16.4258831472
97,601766,中国中车,6.03,173054150451,146696622229,轨交设备Ⅱ,528672501.0,4.54,9.956998576,79.91,10.280413688099,22.2659912397
98,300604,长川科技,267.25,172531841347,130813044941,半导体,4455560113.55,18.52,59.7153807171,9.64,125.672896733861,55.482024293
99,301377,鼎泰高科,402.4,170635681442,39781639842,通用设备,1153148102.64,23.27,114.8532705135,6.79,325.11511168433,55.9236303489
100,601688,华泰证券,18.59,167809397782,135832633191,证券Ⅱ,766038467.0,6.3,45.8621225486,116.92,54.86615652396,0.0
