排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
67,600919,江苏银行,88.79,103.02,110.29,67.49,98.4,105.14,12.62,2.35,6.41,89.34,0.85,93.36,12.09,11.58,1.0,4.38,1.33,1.22,14.06,96.69,97.02,银行Ⅱ,三周期共振超买 / 高位+估值顶区
75,603268,松发股份,94.53,104.78,99.1,88.24,101.75,92.14,199.59,0.96,36.2,48.29,15.57,82.75,187.389,166.31,1.0,6.51,1.02,0.76,9.87,74.71,69.92,航海装备Ⅱ,三周期共振超买 / 高位+估值顶区
62,002142,宁波银行,88.24,106.73,100.64,71.38,104.04,90.29,35.87,3.49,7.61,38.82,0.98,33.93,33.906,31.969,1.0,5.79,1.8,1.55,16.02,67.52,59.17,银行Ⅱ,三周期共振超买
53,002916,深南电路,104.64,53.9,57.06,92.81,26.01,54.39,392.31,2.35,64.13,94.83,14.82,95.26,361.416,376.745,0.0,8.55,1.0,0.88,32.35,93.55,97.6,元件,高位+估值顶区
14,600036,招商银行,80.14,103.78,104.4,64.63,99.17,76.24,41.57,1.39,6.91,34.45,0.92,18.39,39.941,38.428,1.0,4.08,1.01,0.83,27.34,60.08,32.07,银行Ⅱ,三周期共振超买
58,002463,沪电股份,94.59,58.23,60.01,87.17,33.3,58.29,127.92,0.29,48.62,94.5,13.68,98.25,120.333,124.562,0.0,6.31,0.64,0.67,45.54,94.13,96.94,元件,高位+估值顶区
100,600362,江西铜业,82.56,99.41,23.59,73.24,84.68,15.91,49.64,0.14,14.83,43.55,1.96,97.11,46.989,44.816,1.0,5.64,1.12,1.17,39.37,75.95,94.96,工业金属,高位+估值顶区
49,300394,天孚通信,80.44,90.08,46.36,61.17,78.39,43.35,269.0,4.25,126.35,95.78,46.96,97.44,263.909,252.128,1.0,1.93,1.36,1.01,138.0,92.64,95.54,通信设备,高位+估值顶区
73,688498,源杰科技,98.28,72.76,73.65,95.88,52.63,62.9,1719.0,0.06,284.7,52.82,68.12,97.56,1575.248,1556.347,1.0,9.13,0.65,0.5,39.12,52.82,97.56,半导体,高位+估值顶区
65,300408,三环集团,87.76,49.79,47.96,86.92,25.63,54.03,117.7,-0.06,70.93,96.87,10.38,97.87,114.332,123.608,0.0,2.95,0.74,0.54,38.48,94.55,96.28,元件,高位+估值顶区
18,601899,紫金矿业,90.64,93.0,39.41,79.29,94.73,28.84,34.11,-0.84,13.41,10.76,4.49,83.84,33.663,30.886,1.0,1.33,0.53,0.38,34.07,18.76,85.21,工业金属,高位+估值顶区
13,300308,中际旭创,89.57,10.6,28.71,97.05,-1.01,35.52,890.1,-2.07,51.26,56.87,26.3,95.83,886.348,1020.061,0.0,0.42,0.64,0.49,154.91,61.98,92.73,通信设备,高位+估值顶区
74,002938,鹏鼎控股,81.76,38.77,55.8,84.25,21.24,58.5,91.85,-0.65,56.19,96.95,6.19,94.63,89.636,94.299,0.0,2.47,1.85,1.52,35.52,95.12,95.54,元件,高位+估值顶区
