排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
50,600276,恒瑞医药,2.51,-15.0,-3.7,10.84,-8.26,8.04,42.93,-3.98,36.88,0.9,4.42,0.05,47.607,51.617,0.0,-9.82,1.93,1.27,44.89,1.57,0.08,化学制药,三周期共振超卖 / 估值+超卖双低
94,300274,阳光电源,4.53,-1.46,-17.91,6.45,3.01,-9.84,85.93,-1.23,16.22,25.26,3.55,31.28,100.576,114.788,0.0,-14.56,0.75,0.58,27.03,30.08,5.62,光伏设备,三周期共振超卖 / 估值+超卖双低
102,002352,顺丰控股,-7.2,3.42,18.5,-2.86,33.22,26.07,31.41,-0.66,15.2,1.37,1.61,0.09,32.469,32.841,0.0,-3.26,0.72,0.55,,2.4,0.17,,三周期共振超卖 / 估值+超卖双低
101,688795,摩尔线程-U,-4.52,-7.87,0.88,2.68,-5.38,15.39,364.05,-5.97,-230.8,74.33,14.05,0.53,513.061,594.203,0.0,-29.04,1.34,4.33,,74.33,0.53,,三周期共振超卖
96,601766,中国中车,-5.0,94.99,61.64,10.47,106.54,49.16,6.1,-0.97,12.57,4.6,0.99,12.65,6.142,5.775,1.0,-0.68,0.93,0.62,5.45,8.02,22.07,轨交设备Ⅱ,估值+超卖双低 / 多头回踩MA20
5,600941,中国移动,-14.05,85.0,82.53,-4.96,105.51,65.84,97.17,0.06,15.99,53.79,1.48,34.33,98.079,94.488,1.0,-0.93,0.69,0.51,5.18,53.79,34.33,通信服务,多头回踩MA20
85,601336,新华保险,-3.7,38.68,10.53,5.18,55.84,7.61,59.72,-0.35,4.21,0.05,1.51,43.46,59.784,60.427,0.0,-0.11,0.55,0.65,7.64,0.08,64.38,保险Ⅱ,估值+超卖双低
83,601066,中信建投,1.96,1.6,43.05,-4.72,4.45,54.75,24.41,0.66,15.06,0.75,2.16,13.81,25.046,26.314,0.0,-2.54,0.61,0.53,2.73,0.25,10.25,证券Ⅱ,估值+超卖双低
103,301666,大普微-UW,-9.82,4.81,12.59,-5.85,12.22,23.24,389.14,-2.06,140.63,9.8,46.55,1.96,427.005,498.376,0.0,-8.87,0.72,0.61,,9.8,1.96,,三周期共振超卖 / 估值+超卖双低
28,688041,海光信息,-4.24,-4.62,9.43,6.03,-2.22,31.98,232.37,-1.45,171.9,59.49,21.29,73.13,248.832,295.365,0.0,-6.62,0.8,0.62,30.39,59.49,73.13,半导体,三周期共振超卖
19,002594,比亚迪,-5.27,4.41,23.67,-0.71,42.59,37.48,83.52,-2.75,25.87,22.37,3.17,24.79,88.837,88.861,0.0,-5.99,1.64,1.07,27.84,39.01,0.41,乘用车,估值+超卖双低
17,601318,XD中国平,8.6,94.18,28.24,5.97,105.82,18.17,55.52,0.43,6.31,0.19,0.98,25.5,54.068,51.758,1.0,2.69,0.53,0.59,24.61,0.33,44.46,保险Ⅱ,估值+超卖双低
81,688802,沐曦股份-U,-3.44,-10.33,18.58,-1.07,-8.62,54.37,493.8,-7.18,22207.47,95.53,14.24,0.56,662.913,745.572,0.0,-25.51,1.35,1.76,10.79,95.53,0.56,半导体,三周期共振超卖
12,601628,中国人寿,12.08,32.19,29.93,6.83,46.6,25.61,38.28,0.34,4.37,0.24,1.63,6.35,37.998,37.979,1.0,0.74,0.63,0.66,8.68,0.41,11.07,保险Ⅱ,估值+超卖双低
48,300059,东方财富,8.53,7.46,21.56,-0.04,8.95,25.81,18.97,0.32,20.58,1.9,3.05,9.0,19.127,19.814,0.0,-0.82,0.79,0.61,25.28,3.31,15.7,证券Ⅱ,估值+超卖双低
9,600519,贵州茅台,-1.95,67.56,37.81,17.9,86.33,39.7,1285.13,-0.45,19.73,4.03,6.39,2.56,1301.661,1274.673,1.0,-1.27,0.68,0.54,24.29,7.02,4.46,白酒Ⅱ,估值+超卖双低 / 多头回踩MA20
63,601816,京沪高铁,22.42,55.32,77.42,9.89,71.0,77.06,4.83,0.63,17.34,1.36,1.13,1.86,4.883,4.795,1.0,-1.09,0.79,0.71,4.75,1.82,2.48,铁路公路,多头回踩MA20
51,000858,五 粮 液,17.19,16.89,6.5,48.91,38.16,9.21,70.48,-0.96,20.91,22.99,2.31,0.33,71.645,72.807,0.0,-1.63,0.88,0.73,15.75,31.9,0.58,白酒Ⅱ,三周期共振超卖 / 估值+超卖双低
82,600690,海尔智家,17.21,67.68,34.46,45.14,79.87,27.77,21.17,-0.61,11.04,6.59,1.65,3.55,21.197,20.609,1.0,-0.13,0.82,0.74,5.85,8.76,6.2,白色家电,估值+超卖双低 / 多头回踩MA20
32,600030,中信证券,13.5,28.65,76.84,0.11,26.65,80.67,27.6,0.99,10.87,0.33,1.46,44.69,27.534,28.018,0.0,0.24,0.96,0.93,27.92,0.58,64.21,证券Ⅱ,估值+超卖双低
107,000776,广发证券,17.3,54.77,58.45,22.57,37.66,55.94,21.72,0.37,9.0,0.19,1.23,65.17,21.294,21.575,0.0,2.0,0.6,0.61,,0.33,72.81,,估值+超卖双低
56,601919,中远海控,34.2,69.64,84.4,28.02,77.2,78.07,16.38,-0.97,9.35,57.96,1.07,41.9,16.573,15.222,1.0,-1.16,0.71,0.66,9.88,92.56,73.06,航运港口,多头回踩MA20
47,002415,海康威视,26.75,18.32,65.04,28.29,36.68,87.52,33.51,-0.71,18.69,6.45,3.64,16.92,34.623,34.528,1.0,-3.21,0.51,0.47,12.52,11.24,29.5,计算机设备,多头回踩MA20
27,601728,XD中国电,28.54,80.26,66.32,16.64,89.64,58.51,6.19,1.16,19.04,77.08,1.2,51.71,6.277,5.91,1.0,-1.39,1.24,0.81,5.77,76.94,51.32,通信服务,多头回踩MA20
20,600900,长江电力,25.21,46.16,84.51,17.57,64.28,86.46,28.09,0.14,18.99,49.43,3.18,83.51,28.17,27.74,1.0,-0.28,0.66,0.6,17.27,20.41,71.57,电力,多头回踩MA20
54,601225,陕西煤业,27.15,79.49,86.79,26.02,95.21,86.58,26.09,-1.7,12.4,89.29,2.5,89.34,26.168,24.417,1.0,-0.3,0.79,0.79,8.16,81.32,81.4,煤炭开采,多头回踩MA20
70,600188,兖矿能源,32.77,84.45,60.4,30.43,93.22,62.34,21.75,-1.81,20.42,95.02,2.84,86.02,21.982,20.255,1.0,-1.06,0.81,0.75,9.1,91.32,75.62,煤炭开采,多头回踩MA20
