排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.729,-0.4,1142.91,1142.91,43.65,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(524.8亿)；沪深300ETF华夏(426.59亿)；沪深300ETF嘉实(310.22亿)；沪深300ETF天弘(83.94亿)
2,588000,科创50ETF华夏,1.812,-1.15,882.85,882.85,74.83,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(416.31亿)；科创50ETF工银(110.04亿)；科创50ETF广发(77.18亿)
3,159915,创业板ETF易方达,3.604,-0.47,648.05,648.05,58.21,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(116.69亿)；创业板ETF天弘(65.82亿)
4,512880,证券ETF国泰,1.101,0.36,643.0,643.0,25.23,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(395.05亿)；证券ETF天弘(121.64亿)；券商ETF银华(98.8亿)；证券ETF南方(81.86亿)
5,588200,科创芯片ETF嘉实,1.204,-1.15,506.02,506.02,41.34,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(74.61亿)
6,563360,A500ETF华泰柏瑞,1.307,-0.68,431.41,431.41,50.44,中证A500指数,指数型-股票,中证A500,A500ETF南方(355.93亿)；A500ETF易方达(288.36亿)；中证A500ETF国泰(277.65亿)；A500ETF华夏(211.35亿)
7,159516,半导体设备ETF国泰,0.735,-2.91,422.89,422.89,47.56,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(206.06亿)；半导体设备ETF广发(126.1亿)；半导体设备ETF华夏(87.53亿)
8,510500,中证500ETF南方,7.98,-0.91,421.49,421.49,28.37,中证500指数,指数型-股票,中证500,中证500ETF嘉实(89.45亿)；中证500ETF华夏(84.69亿)
9,515880,通信ETF国泰,0.666,0.15,404.95,404.95,34.67,中证全指通信设备指数,指数型-股票,通信,
10,588170,科创半导体ETF华夏,1.01,-2.88,396.12,396.12,79.83,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(111.0亿)
11,512890,红利低波ETF华泰柏瑞,1.157,-0.17,320.69,320.69,5.35,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(122.88亿)
12,159995,芯片ETF华夏,1.192,-1.41,279.54,279.54,8.39,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(67.97亿)
13,512170,医疗ETF华宝,0.355,1.43,263.14,263.14,8.98,中证医疗指数,指数型-股票,医药,
14,159949,创业板50ETF华安,1.69,-0.41,257.76,257.76,19.03,创业板50指数,指数型-股票,创业板,
15,512400,有色金属ETF南方,1.869,-3.66,248.26,248.26,14.65,有色金属,指数型-股票,有色金属,
16,512100,中证1000ETF南方,3.128,-0.89,225.19,225.19,29.43,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(86.49亿)；中证1000ETF广发(62.26亿)
17,159326,电网设备ETF华夏,1.692,-0.88,216.43,216.43,8.45,中证电网设备主题指数,指数型-股票,其他,
18,159819,人工智能ETF易方达,1.828,-0.22,212.84,212.84,5.6,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(84.67亿)
19,510050,上证50ETF华夏,3.037,-0.2,212.73,212.73,12.74,上证50指数,指数型-股票,上证50,
20,510880,红利ETF华泰柏瑞,3.273,-0.91,204.32,204.32,3.81,上证红利指数,指数型-股票,红利,
21,512480,半导体ETF国联安,1.068,-1.84,200.46,200.46,16.01,中证全指半导体产品与设备指数,指数型-股票,半导体,
