市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,量比,策略
个股,2026-07-19,601398,工商银行,1,1,7.57,7.74,2.1,1,99.51,57.63,45.93,7.27,88.65,0.68,53.98,,,,全样本(基准)
个股,2026-07-19,601939,建设银行,2,1,10.16,10.44,2.61,1,91.89,51.42,81.6,7.78,96.19,0.75,68.71,,,,全样本(基准)
个股,2026-07-19,601288,农业银行,3,1,6.39,6.61,3.29,1,104.28,47.06,-1.45,7.6,88.75,0.79,73.97,,,,全样本(基准)
个股,2026-07-19,600941,中国移动,4,1,93.4,95.8,2.42,1,94.37,36.13,26.26,14.91,35.73,1.42,27.8,,,,全样本(基准)
个股,2026-07-19,601988,中国银行,5,1,5.96,6.08,1.86,1,99.79,52.06,76.77,7.83,98.26,0.7,82.28,,,,全样本(基准)
个股,2026-07-19,601857,中国石油,6,1,10.29,11.01,6.85,1,105.04,50.03,16.26,11.91,52.44,1.16,81.17,,,,全样本(基准)
个股,2026-07-19,300750,宁德时代,7,1,358.6,375.03,4.43,1,57.12,-1.91,25.95,21.09,15.11,4.66,26.4,,,,全样本(基准)
个股,2026-07-19,600519,贵州茅台,8,1,1253.0,1327.5,5.8,1,94.55,56.4,17.57,18.94,1.3,5.78,1.01,,,,全样本(基准)
个股,2026-07-19,600938,中国海油,9,1,28.97,31.87,9.86,1,71.31,23.19,2.09,11.05,83.37,1.64,58.27,,,,全样本(基准)
个股,2026-07-19,688981,中芯国际,10,1,139.88,144.0,2.8,1,7.11,51.83,73.83,237.33,95.67,7.99,94.92,,,,全样本(基准)
个股,2026-07-19,601138,工业富联,11,1,56.94,55.85,-2.06,1,5.08,-9.74,36.42,28.11,88.51,6.49,90.09,,,,全样本(基准)
个股,2026-07-19,601628,中国人寿,12,1,39.05,40.6,3.82,1,60.32,96.46,14.34,7.62,6.37,1.84,24.96,,,,全样本(基准)
个股,2026-07-19,300308,中际旭创,13,1,979.46,1004.0,2.36,1,25.21,1.53,64.92,73.07,78.75,30.69,97.73,,,,全样本(基准)
个股,2026-07-19,600036,招商银行,14,1,38.02,38.91,2.19,1,93.67,88.94,28.2,6.36,21.83,0.85,5.7,,,,全样本(基准)
个股,2026-07-19,601088,中国神华,15,1,43.95,46.14,4.83,1,90.01,38.04,34.12,18.49,97.1,1.98,89.09,,,,全样本(基准)
个股,2026-07-19,601318,中国平安,16,1,50.7,53.23,4.84,1,81.94,36.68,-8.46,6.91,2.8,0.9,13.04,,,,全样本(基准)
个股,2026-07-19,002594,比亚迪,17,1,93.11,93.56,0.33,1,86.53,75.09,37.21,30.93,30.32,3.67,31.43,,,,全样本(基准)
