市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,量比,策略
个股,2026-07-19,601211,国泰海通,42,1,18.3,19.03,3.84,1,19.04,78.89,39.4,14.69,60.7,0.99,33.8,,,,全样本(基准)
个股,2026-07-19,600183,生益科技,43,1,132.29,123.34,-6.92,1,18.97,41.42,67.45,81.8,98.31,17.92,98.31,,,,全样本(基准)
个股,2026-07-19,601319,中国人保,44,1,7.11,7.39,3.93,1,67.09,89.06,-1.74,7.52,9.47,1.0,25.82,,,,全样本(基准)
个股,2026-07-19,688802,沐曦股份-U,45,1,779.97,821.0,5.11,1,25.04,45.08,81.31,-475.87,12.14,23.82,81.43,,,,全样本(基准)
个股,2026-07-19,300059,东方财富,46,1,19.7,20.18,2.29,1,24.99,68.37,22.25,23.78,4.83,3.26,11.2,,,,全样本(基准)
个股,2026-07-19,002415,海康威视,47,1,32.6,33.73,3.32,1,13.4,65.96,66.54,20.34,13.81,3.53,13.09,,,,全样本(基准)
个股,2026-07-19,601869,长飞光纤,48,1,361.27,381.7,5.5,1,11.02,-2.89,65.43,258.69,94.79,21.03,96.65,,,,全样本(基准)
个股,2026-07-19,600000,浦发银行,49,1,8.87,9.14,2.89,1,93.38,60.65,3.9,5.88,63.79,0.39,23.76,,,,全样本(基准)
个股,2026-07-19,688795,摩尔线程-U,50,1,612.98,603.0,-1.78,1,8.22,22.34,40.52,-335.43,35.81,25.01,37.84,,,,全样本(基准)
个股,2026-07-19,601601,XD中国太,51,1,29.75,31.63,6.17,1,88.88,37.24,-8.47,5.31,0.53,0.9,5.65,,,,全样本(基准)
个股,2026-07-19,000858,五 粮 液,52,1,72.76,76.24,4.63,1,93.76,26.12,4.82,22.41,30.18,2.21,0.19,,,,全样本(基准)
个股,2026-07-19,688820,盛合晶微,53,1,145.45,130.38,-10.51,1,-10.1,8.63,,274.9,23.33,18.73,23.33,,,,全样本(基准)
个股,2026-07-19,002463,沪电股份,54,1,127.8,115.02,-10.15,1,48.11,42.04,80.44,57.17,98.26,14.65,98.41,,,,全样本(基准)
个股,2026-07-19,600150,中国船舶,55,1,31.98,33.01,3.09,1,-12.72,8.48,19.13,21.53,25.83,1.63,16.95,,,,全样本(基准)
个股,2026-07-19,300476,胜宏科技,56,1,241.5,224.11,-7.35,1,11.62,-17.12,15.27,50.72,84.26,13.64,89.14,,,,全样本(基准)
个股,2026-07-19,601816,京沪高铁,57,1,4.72,4.84,2.39,1,87.95,49.97,37.61,17.66,1.46,1.12,1.46,,,,全样本(基准)
个股,2026-07-19,002379,宏桥控股,58,1,18.09,18.8,3.77,1,104.35,38.01,-3.75,11.96,72.28,4.51,82.71,,,,全样本(基准)
个股,2026-07-19,601225,陕西煤业,59,1,24.3,25.0,2.73,1,72.05,47.54,47.23,14.57,97.39,2.31,80.88,,,,全样本(基准)
个股,2026-07-19,300394,天孚通信,60,1,211.37,213.54,0.88,1,12.3,-2.91,49.43,106.16,94.69,38.56,95.03,,,,全样本(基准)
个股,2026-07-19,002714,牧原股份,61,1,39.83,40.61,1.81,1,77.93,81.8,20.96,23.51,69.53,2.67,1.98,,,,全样本(基准)
个股,2026-07-19,002916,深南电路,62,1,334.0,324.36,-3.04,1,-4.36,22.32,64.79,62.6,94.59,12.58,90.58,,,,全样本(基准)
个股,2026-07-19,000725,京东方Ａ,63,1,6.07,5.79,-4.76,1,-5.99,47.51,59.92,37.79,57.7,1.65,74.46,,,,全样本(基准)
