信号日,三周期共振偏弱(均<50),三周期共振偏强(均>50),三周期共振超买(均>80),三周期共振超卖(均<20),全样本(基准),分化-日低周高,分化-日高周低
2026-07-23,0.9672000000000001,0.9926823529411765,0.9945,,0.9860606060606061,1.019,0.97214
2026-07-24,0.988304304,0.9923463681447964,1.0133457750000001,1.0192,0.9955008913376188,1.0160788666666665,0.987645633
2026-07-27,0.9207240556924801,0.9915164057278025,0.990038822175,1.00717344,0.9688978897404187,1.0203925833096967,0.9307325533983749
2026-07-28,0.9090410904524711,0.9936283356720027,0.9905998441742325,0.9904543608960001,0.9675541555963646,1.02768498897175,0.9303935008253512
2026-07-29,0.8767246796868857,1.0103792533642066,1.0139780004967445,0.8878432891071745,0.9586976144266532,1.0404519986424376,0.9101341823448792
2026-07-30,0.9034408717442534,1.0003408383116645,1.0013901878905778,0.9372961603104442,0.9657910083919817,1.0434346277052124,0.9275278578296924
2026-07-31,0.9034408717442534,1.0003408383116645,1.0013901878905778,0.9372961603104442,0.9657910083919817,1.0434346277052124,0.9275278578296924
2026-08-01,0.9034408717442534,1.0003408383116645,1.0013901878905778,0.9372961603104442,0.9657910083919817,1.0434346277052124,0.9275278578296924
2026-08-02,0.8831676585823123,0.9952078393850777,0.980010507379114,0.9362651345341026,0.9531642567482649,1.0294839067327937,0.9333596892357966
2026-08-03,0.9328108172117959,0.9796002350625834,0.9621498158821296,0.9799887163168453,0.961603573077514,1.025505686778919,0.9472434146131791
2026-08-04,0.9967370600621028,0.9739054923627529,0.9709695225277158,1.0127693388776438,0.9810145028036568,1.0273826729450235,0.9691365780334262
2026-08-05,1.0085768724255548,0.957115361674419,0.9654349962493078,,0.9836092861635725,1.028407869697388,0.986467020370024
2026-08-06,1.0418346947937875,0.9886864955330794,1.0147687245576473,,0.9967099782459852,1.02716092515538,1.0157967987435257
2026-08-07,1.0337778398207156,1.014013347926985,1.0365355136994088,,0.9975252870081903,1.0362980922295955,1.0032093834124287
2026-08-10,1.0379956534071841,1.0002002327652242,1.004610219877467,,0.989939107200493,1.0311617737365704,0.9967047032167545
2026-08-11,1.0466283172580206,0.9922861484234694,1.000943392574914,1.0127693388776438,0.9961668141238914,1.0310999040301463,1.0179465946644013
2026-08-12,1.0505008420318753,0.9859213415571532,1.0216629208012147,1.0103386924643374,0.9922737942142952,1.0290100405661242,1.0117131687523682
2026-08-13,1.0468941224742325,0.9861185258254646,1.0105267949644814,1.0103386924643374,0.9906216583469284,1.0215721449139297,1.0170087645385235
2026-08-14,1.0650184769695676,0.994194836551975,1.0346278590243843,,1.0094573385587369,1.024464807092686,1.060464950806805
2026-08-17,1.0579301873284035,1.0066288999744517,1.0398527297124573,,1.0095633315792856,1.0269235226297084,1.055835358505939
