信号日,三周期共振偏弱(均<50),三周期共振偏强(均>50),三周期共振超买(均>80),全样本(基准),分化-日低周高,分化-日高周低
2026-07-31,1.0264875,0.9729,,1.008711475409836,1.00365,1.0217294117647058
2026-08-04,1.061405183125,0.97056504,,1.0301176558183285,1.0041805007142857,1.047428339159664
2026-08-05,1.080876071539882,0.946980309528,,1.032000575795767,1.0072097785581071,1.0485118857174152
2026-08-06,1.080876071539882,1.0053142965949249,,1.0476616074845233,1.005931396916091,1.0686093081323014
2026-08-07,1.080876071539882,1.02146634629355,1.011,1.0527144278930798,1.0147752104473118,1.0696260135597528
2026-08-10,1.0810382029506131,1.0126817357154254,0.9986657999999999,1.0424892918516593,1.0113503441120522,1.0631405144975357
2026-08-11,1.0809841510404656,1.0119222244136388,0.9986657999999999,1.050041357721647,1.012474066716621,1.07667326440143
2026-08-12,1.0860647765503557,1.0106067255219011,1.0095512572199998,1.0410915052159995,1.0121413966661283,1.0663372010631762
2026-08-13,1.0835939791837037,1.0031787660893152,0.9986481036420238,1.0454389018401997,1.012998343048639,1.0769472562137548
2026-08-14,1.0926239290102346,1.0068236489394398,1.0095333679717218,1.0668619683690381,1.0219767073101858,1.1124999775095112
2026-08-17,1.081187798553261,1.0072599391873134,0.9986304075976271,1.0649261301199815,1.0215739282549516,1.1109836812438687
