排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.634,0.39,1083.29,1083.29,46.02,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(511.46亿)；沪深300ETF华夏(405.57亿)；沪深300ETF嘉实(302.85亿)；沪深300ETF天弘(82.48亿)
2,588000,科创50ETF华夏,1.705,2.22,922.33,922.33,62.8,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(423.32亿)；科创50ETF工银(109.55亿)；科创50ETF广发(78.87亿)
3,159915,创业板ETF易方达,3.414,3.3,685.85,685.85,74.29,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(116.53亿)；创业板ETF天弘(66.31亿)
4,512880,证券ETF国泰,1.091,-1.27,605.15,605.15,16.68,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(374.92亿)；证券ETF天弘(117.17亿)；券商ETF银华(93.51亿)；证券ETF南方(82.3亿)
5,588200,科创芯片ETF嘉实,1.139,3.08,494.13,494.13,27.45,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(74.65亿)
6,588170,科创半导体ETF华夏,0.934,3.55,424.82,424.82,46.12,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(112.28亿)
7,159516,半导体设备ETF国泰,0.682,3.81,421.88,421.88,31.96,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(206.59亿)；半导体设备ETF广发(131.32亿)；半导体设备ETF华夏(89.17亿)
8,515880,通信ETF国泰,0.677,5.95,420.58,420.58,35.81,中证全指通信设备指数,指数型-股票,通信,
9,510500,中证500ETF南方,7.771,1.28,405.6,405.6,51.59,中证500指数,指数型-股票,中证500,中证500ETF嘉实(84.83亿)；中证500ETF华夏(76.95亿)
10,563360,A500ETF华泰柏瑞,1.275,0.71,398.93,398.93,41.8,中证A500指数,指数型-股票,中证A500,A500ETF南方(336.75亿)；A500ETF易方达(290.69亿)；中证A500ETF国泰(259.8亿)；A500ETF华夏(198.07亿)
11,512890,红利低波ETF华泰柏瑞,1.195,-0.99,313.52,313.52,7.53,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(122.72亿)
12,159995,芯片ETF华夏,1.12,3.13,277.21,277.21,7.39,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(66.92亿)
13,512400,有色金属ETF南方,1.872,-0.64,269.05,269.05,5.66,有色金属,指数型-股票,有色金属,
14,159949,创业板50ETF华安,1.6,3.69,248.24,248.24,19.05,创业板50指数,指数型-股票,创业板,
15,512170,医疗ETF华宝,0.337,-0.59,241.47,241.47,2.44,中证医疗指数,指数型-股票,医药,
16,159819,人工智能ETF易方达,1.75,2.64,212.72,212.72,3.84,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(83.54亿)
17,512480,半导体ETF国联安,1.002,2.66,205.91,205.91,12.96,中证全指半导体产品与设备指数,指数型-股票,半导体,
18,510050,上证50ETF华夏,3.018,-0.63,205.55,205.55,16.79,上证50指数,指数型-股票,上证50,
19,512100,中证1000ETF南方,3.097,1.74,203.08,203.08,33.96,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(70.37亿)；中证1000ETF广发(59.63亿)
20,515450,红利低波50ETF南方,1.414,-0.84,198.52,198.52,1.85,标普中国A股大盘红利低波50指数,指数型-股票,红利,
21,159326,电网设备ETF华夏,1.654,0.67,191.72,191.72,2.96,中证电网设备主题指数,指数型-股票,其他,
