排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
76,01038,长江基建集团,69.09,104.29,60.57,62.6,0.08,19.08,,1.23,
77,03606,福耀玻璃,91.89,96.18,22.69,59.4,0.76,15.43,,3.5,
78,09973,奇瑞汽车,95.28,49.22,26.18,26.68,0.6,7.47,,2.48,
79,06886,华泰证券,18.88,51.8,16.93,16.89,0.24,7.77,,0.76,
80,01766,中国中车,92.78,63.64,15.83,5.26,-1.31,9.99,,0.76,
81,01801,信达生物,6.28,67.29,37.52,86.7,-1.59,167.57,,7.02,
82,01336,新华保险,56.67,45.62,1.25,48.36,-0.37,3.67,,1.08,
83,02423,贝壳-W,53.64,73.92,39.97,43.42,0.05,39.47,,2.1,
84,00027,银河娱乐,103.95,105.17,7.36,34.2,-0.52,14.03,,1.8,
85,00688,中国海外发展,45.46,24.42,35.14,13.51,-2.1,10.52,,0.34,
86,01816,中广核电力,48.81,49.22,6.23,2.89,-0.69,13.72,,1.02,
87,02600,中国铝业,68.83,23.52,-6.11,8.46,1.44,8.82,,1.59,
88,02057,中通快递-W,35.43,82.01,62.44,186.8,-1.48,13.86,,2.04,
89,01898,中煤能源,35.99,26.91,6.79,10.71,-2.01,8.82,,0.76,
90,01972,太古地产,91.34,96.31,24.52,23.9,-1.32,-89.76,,0.51,
91,00012,恒基地产,78.97,52.62,11.26,28.4,-1.32,24.32,,0.43,
92,01776,广发证券,26.98,45.87,36.21,17.08,0.47,7.63,,0.86,
93,00003,香港中华煤气,68.99,82.84,20.86,7.03,-1.95,23.06,,2.21,
94,01377,鼎泰高科,19.42,,,302.2,12.18,183.97,,37.7,
95,09987,百胜中国,83.28,88.94,23.05,372.8,1.91,16.87,,3.06,
96,06099,招商证券,26.41,2.33,47.35,14.57,0.83,8.52,,0.9,
97,00006,电能实业,66.72,80.96,47.97,59.05,-0.08,20.18,,1.39,
98,06618,京东健康,70.89,92.47,-7.28,39.4,0.31,21.12,,1.9,
99,01929,周大福,37.02,64.94,14.53,12.37,2.23,13.55,,3.94,
100,00358,江西铜业股份,56.14,44.84,6.01,35.18,4.02,13.19,,1.28,
