排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.616,-0.24,1099.03,1099.03,34.36,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(515.78亿)；沪深300ETF华夏(405.07亿)；沪深300ETF嘉实(302.57亿)；沪深300ETF天弘(81.87亿)
2,588000,科创50ETF华夏,1.693,0.12,864.03,864.03,57.21,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(410.46亿)；科创50ETF工银(105.63亿)；科创50ETF广发(74.92亿)
3,159915,创业板ETF易方达,3.419,-1.1,626.24,626.24,65.63,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(110.84亿)；创业板ETF天弘(62.34亿)
4,512880,证券ETF国泰,1.067,0.0,625.99,625.99,10.14,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(379.91亿)；证券ETF天弘(119.66亿)；券商ETF银华(93.44亿)；证券ETF南方(79.07亿)
5,588200,科创芯片ETF嘉实,1.13,-0.35,482.14,482.14,28.15,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(73.59亿)
6,588170,科创半导体ETF华夏,0.976,-2.89,428.52,428.52,61.76,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(113.83亿)
7,159516,半导体设备ETF国泰,0.705,-2.49,422.93,422.93,35.92,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(210.05亿)；半导体设备ETF广发(134.09亿)；半导体设备ETF华夏(90.59亿)
8,515880,通信ETF国泰,0.648,0.0,408.04,408.04,30.47,中证全指通信设备指数,指数型-股票,通信,
9,563360,A500ETF华泰柏瑞,1.272,-0.16,405.28,405.28,39.37,中证A500指数,指数型-股票,中证A500,A500ETF南方(339.86亿)；A500ETF易方达(280.34亿)；中证A500ETF国泰(254.64亿)；A500ETF华夏(197.14亿)
10,510500,中证500ETF南方,7.726,-0.18,380.63,380.63,29.11,中证500指数,指数型-股票,中证500,中证500ETF嘉实(84.64亿)；中证500ETF华夏(79.19亿)
11,512890,红利低波ETF华泰柏瑞,1.185,-0.34,332.58,332.58,10.25,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(127.89亿)
12,159995,芯片ETF华夏,1.118,0.09,270.68,270.68,7.56,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(65.32亿)
13,512400,有色金属ETF南方,1.896,-2.72,253.63,253.63,11.98,有色金属,指数型-股票,有色金属,
14,512170,医疗ETF华宝,0.347,2.36,248.61,248.61,6.14,中证医疗指数,指数型-股票,医药,
15,159949,创业板50ETF华安,1.602,-1.17,239.93,239.93,17.7,创业板50指数,指数型-股票,创业板,
16,510050,上证50ETF华夏,2.982,0.1,224.28,224.28,11.52,上证50指数,指数型-股票,上证50,
17,159819,人工智能ETF易方达,1.685,0.54,205.59,205.59,3.88,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(80.37亿)
18,159326,电网设备ETF华夏,1.671,0.91,205.52,205.52,5.48,中证电网设备主题指数,指数型-股票,其他,
19,510880,红利ETF华泰柏瑞,3.409,-0.9,200.54,200.54,5.09,上证红利指数,指数型-股票,红利,
20,515450,红利低波50ETF南方,1.413,0.36,199.95,199.95,2.24,标普中国A股大盘红利低波50指数,指数型-股票,红利,
21,512100,中证1000ETF南方,3.048,0.26,196.21,196.21,37.23,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(65.52亿)；中证1000ETF广发(58.36亿)
