排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,00700,腾讯控股,16.07,26.48,6.48,37.32,52.91,7.85,438.2,-0.72,14.95,,3.05,,453.01,453.58,0.0,-3.27,1.13,0.83,93.37,,,
2,00005,汇丰控股,55.56,58.02,87.62,27.89,60.73,91.26,162.6,1.25,14.8,,2.06,,161.725,156.223,1.0,0.54,1.25,0.79,15.32,,,
3,01398,工商银行,94.99,102.49,98.89,93.09,91.92,89.58,7.69,0.07,6.47,,0.6,,7.372,7.093,1.0,4.31,0.89,1.03,13.48,,,
4,03750,宁德时代,-3.45,9.1,27.55,0.95,33.55,43.13,564.5,-4.65,27.11,,5.98,,628.85,646.442,0.0,-10.23,2.31,2.25,25.38,,,
5,00939,建设银行,103.41,106.94,104.08,101.31,97.52,96.68,9.67,0.73,6.44,,0.61,,9.081,8.722,1.0,6.49,0.67,0.77,17.71,,,
6,01288,农业银行,103.99,104.78,104.4,96.72,87.07,85.23,6.58,1.08,6.82,,0.7,,6.124,5.874,1.0,7.45,1.31,1.35,7.13,,,
7,09988,阿里巴巴-W,2.41,59.1,19.96,2.1,79.38,18.19,109.9,-0.45,25.72,,1.74,,119.76,112.172,1.0,-8.23,0.81,0.76,83.28,,,
8,03988,中国银行,102.36,108.37,103.18,103.86,100.75,98.64,6.0,0.42,6.85,,0.61,,5.466,5.303,1.0,9.77,0.79,1.22,13.12,,,
9,00857,中国石油股份,49.66,102.56,39.18,65.9,106.19,37.29,10.1,-0.98,9.22,,0.98,,9.841,9.619,1.0,2.63,0.83,0.75,6.06,,,
10,00941,中国移动,8.07,44.93,29.04,4.89,60.99,32.83,79.5,0.0,11.47,,1.03,,81.222,80.559,1.0,-2.12,0.79,0.66,7.27,,,
11,03968,招商银行,107.32,100.15,86.68,99.94,78.74,69.84,51.75,0.58,7.58,,0.99,,49.163,47.991,1.0,5.26,0.63,0.87,5.08,,,
12,00883,中国海洋石油,48.44,111.55,33.92,62.49,117.98,29.7,25.02,-0.16,7.54,,1.21,,24.463,23.391,1.0,2.28,0.86,0.76,12.16,,,
13,03308,中际旭创,13.36,28.82,,25.36,47.79,,996.0,-3.77,50.37,,24.2,,1087.5,,,-8.41,1.3,,20.25,,,
14,02318,中国平安,40.93,65.84,10.08,80.44,84.78,11.51,55.45,-2.29,5.54,,0.85,,55.978,55.411,1.0,-0.94,0.86,1.18,21.41,,,
15,01088,中国神华,49.42,104.1,56.46,84.22,113.14,52.74,45.54,-1.43,15.84,,1.87,,44.44,43.153,1.0,2.48,0.73,0.84,3.48,,,
16,02899,紫金矿业,11.31,85.43,34.44,20.44,107.87,26.33,35.8,-1.7,12.38,,4.09,,36.49,32.827,1.0,-1.89,1.18,0.94,19.9,,,
17,02628,中国人寿,95.07,88.97,42.2,103.8,67.43,39.01,29.98,-0.66,3.02,,1.11,,28.316,28.43,0.0,5.88,0.75,0.88,14.02,,,
