排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,688825,长鑫科技,81.21,,,95.07,,,57.55,-2.77,136.51,88.89,47.1,88.89
2,601398,工商银行,107.48,67.48,77.97,89.87,58.58,65.7,7.8,1.69,7.49,92.45,0.71,61.75
3,601939,建设银行,109.17,73.92,91.7,109.02,63.78,90.43,10.55,1.15,8.07,97.28,0.78,72.4
4,601288,农业银行,109.99,75.68,33.28,84.8,64.48,13.57,6.77,2.58,8.05,92.02,0.84,83.33
5,600941,中国移动,59.57,100.12,58.56,31.41,99.93,40.42,97.17,1.49,15.99,54.2,1.48,34.46
6,601857,中国石油,90.72,111.64,38.31,48.84,101.79,28.93,11.21,2.66,12.97,57.21,1.26,93.55
7,601988,中国银行,110.85,87.59,97.07,107.52,65.97,84.11,6.08,0.83,7.99,99.0,0.72,86.01
8,300750,宁德时代,41.34,81.57,37.96,56.5,81.18,45.2,389.0,-1.83,21.17,15.59,4.74,29.26
9,600519,贵州茅台,19.1,96.5,41.37,16.62,108.16,37.09,1307.88,0.76,20.08,7.74,6.51,3.15
10,600938,中国海油,88.97,107.12,22.82,93.14,91.17,16.2,33.35,-0.68,12.72,91.15,1.89,79.54
11,601138,工业富联,3.68,43.12,31.52,37.08,48.86,34.58,61.83,-6.6,26.15,86.78,6.98,90.95
12,688981,中芯国际,61.5,10.31,47.29,105.32,11.96,59.31,128.01,-5.16,217.2,91.89,7.32,93.58
13,300308,中际旭创,58.95,6.22,39.24,95.52,7.22,58.78,895.6,-9.36,70.08,75.93,29.44,96.85
14,601628,中国人寿,14.0,47.7,19.03,18.57,59.38,16.2,36.84,-0.3,7.19,3.92,1.74,11.8
15,601088,中国神华,110.79,103.44,58.98,102.58,81.32,44.99,46.52,1.79,19.57,99.24,2.1,97.33
16,600036,招商银行,69.36,82.9,65.99,8.72,81.55,44.8,39.15,2.25,6.55,25.69,0.87,10.41
17,601318,中国平安,23.1,70.89,7.08,-1.84,78.07,3.99,52.08,1.48,7.1,4.2,0.93,16.05
18,601899,紫金矿业,21.47,90.37,23.7,29.36,98.31,13.67,32.76,-2.38,14.12,14.52,4.42,82.71
19,002594,比亚迪,12.99,69.59,38.52,29.42,78.53,43.25,88.66,-0.97,29.34,27.46,3.49,28.41
20,600900,长江电力,100.87,71.27,91.4,69.16,68.54,87.1,28.42,1.07,19.27,52.67,3.05,75.98
21,688256,寒武纪,23.94,-3.94,43.6,64.34,2.58,64.81,1050.49,-9.64,198.08,78.06,48.69,84.7
22,000333,美的集团,49.23,71.27,82.09,15.07,69.8,83.06,84.72,1.36,14.62,52.48,2.78,41.55
23,601328,交通银行,106.23,85.88,80.62,71.5,74.18,54.29,7.15,2.0,6.55,90.4,0.54,54.58
24,600028,中国石化,72.27,89.25,6.46,33.58,86.3,-0.74,5.16,1.98,17.55,85.72,0.75,35.72
25,601728,中国电信,106.3,117.31,68.67,96.87,110.31,38.98,6.65,1.22,19.21,78.93,1.3,70.99
26,688041,海光信息,8.93,-6.36,34.26,35.91,6.7,57.96,259.74,-7.26,192.15,68.38,23.79,82.34
27,601658,邮储银行,76.03,55.5,37.64,21.95,57.78,29.85,4.98,1.01,6.81,58.9,0.58,7.52
28,300502,新易盛,49.39,14.9,42.73,93.86,18.41,62.19,411.5,-9.0,53.42,53.96,28.15,95.13
29,002371,北方华创,30.21,16.28,52.69,93.07,23.83,65.7,712.95,-8.24,92.79,45.61,13.17,83.52
30,603259,药明康德,87.92,100.49,97.51,95.41,99.81,89.1,164.0,-1.9,22.58,33.08,5.87,51.22
31,601998,中信银行,110.84,106.99,73.62,98.25,88.76,42.98,8.16,4.48,6.38,82.09,0.61,68.15
32,688235,百济神州,45.86,83.84,63.89,54.98,89.12,36.44,287.56,-2.12,103.58,89.86,13.43,82.63
33,600030,中信证券,16.62,17.54,72.92,24.82,35.32,80.77,27.15,-0.88,12.59,7.64,1.46,43.84
34,002475,立讯精密,35.29,1.66,25.09,90.65,9.95,47.48,53.5,-7.34,24.05,26.03,4.69,31.14
35,688347,华虹宏力,10.39,-5.5,42.97,47.23,4.6,60.85,233.0,-11.92,820.59,77.58,8.95,93.48
36,601166,兴业银行,48.03,74.32,47.27,2.94,76.73,37.54,18.24,2.18,4.98,34.91,0.47,7.4
37,603993,洛阳钼业,-1.55,39.0,4.96,10.75,58.05,16.35,18.0,-4.36,15.94,19.05,4.29,87.73
38,002384,东山精密,63.69,18.89,55.4,99.75,15.78,62.52,197.1,-7.82,176.96,96.47,15.95,97.09
39,688012,中微公司,61.12,26.15,61.43,107.87,29.35,69.3,372.0,-6.61,130.57,71.42,11.86,73.34
40,600276,恒瑞医药,8.31,56.65,33.2,8.27,67.46,27.32,52.66,0.55,43.05,4.49,5.42,2.87
41,688836,N宇树-W,,,,,,,,,584.99,100.0,118.67,100.0
42,601211,国泰海通,31.02,21.46,45.0,30.17,32.66,40.02,17.86,0.62,9.71,4.63,0.95,28.27
43,002415,海康威视,-2.98,48.96,74.47,-0.31,70.23,92.46,33.89,-2.14,18.9,7.16,3.68,18.67
44,600183,生益科技,13.24,24.56,45.29,70.27,29.86,52.8,125.47,-10.0,58.67,94.17,16.47,97.61
45,601319,中国人保,19.47,47.2,5.01,18.97,59.45,3.83,6.88,-0.43,7.14,4.89,0.95,12.11
46,300394,天孚通信,87.68,63.98,47.55,102.62,45.43,37.98,277.4,-4.82,130.3,96.56,48.43,98.04
47,600000,浦发银行,13.46,71.58,22.2,-6.05,79.42,16.38,9.08,1.23,5.9,64.61,0.4,26.6
48,300059,东方财富,-8.68,14.95,19.69,-3.79,46.53,26.6,18.73,-2.6,22.61,3.39,3.1,9.17
49,688802,沐曦股份-U,52.38,9.24,59.67,87.86,11.21,68.52,729.0,-5.34,-444.77,28.83,22.27,65.03
50,601601,中国太保,19.54,65.44,3.49,6.86,75.65,1.59,30.2,0.73,5.39,1.0,0.91,7.12
51,601869,长飞光纤,46.68,17.91,42.41,95.73,11.91,52.15,345.24,-10.0,247.0,94.19,20.08,95.97
52,603986,兆易创新,48.92,-2.69,27.16,96.25,-4.76,47.83,403.71,-7.56,35.73,11.89,7.6,45.51
