排名,代码,名称,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
66,601919,中远海控,87.08,84.04,17.43,8.86,56.49,0.94,22.89
67,600309,万华化学,39.53,21.91,17.36,16.66,57.03,1.97,6.33
68,002938,鹏鼎控股,58.29,26.83,71.04,58.61,98.0,6.28,96.15
69,000338,潍柴动力,-0.29,-8.87,53.19,18.8,85.8,2.23,70.3
70,603288,海天味业,98.5,78.85,37.02,28.94,1.98,5.01,2.08
71,300274,阳光电源,10.68,-12.66,7.24,17.66,30.71,4.33,40.27
72,301666,大普微-UW,5.92,-8.68,,16206.09,22.22,262.3,22.22
73,000001,平安银行,83.49,48.63,31.79,4.86,20.86,0.45,2.66
74,002142,宁波银行,96.26,68.11,67.0,6.94,30.61,0.9,27.33
75,600919,江苏银行,62.57,44.08,80.88,5.88,76.29,0.79,83.1
76,688498,源杰科技,57.54,61.19,87.08,579.06,76.16,81.66,98.26
77,601066,中信建投,30.67,52.33,64.57,18.25,9.95,2.38,23.98
78,688072,拓荆科技,-8.85,64.38,73.2,123.59,79.79,28.04,97.76
79,003816,中国广核,95.06,6.47,21.55,20.98,87.78,1.58,61.44
80,300408,三环集团,2.66,12.41,61.24,68.42,98.12,8.79,98.12
81,600690,海尔智家,87.15,77.35,4.88,10.5,2.95,1.57,2.27
82,601336,新华保险,45.3,82.6,1.83,5.31,2.22,1.59,48.58
83,600188,兖矿能源,68.07,-2.85,38.51,19.86,95.8,2.48,70.5
84,601668,中国建筑,93.45,73.86,25.66,4.93,53.4,0.38,0.58
85,601818,光大银行,81.45,71.01,20.54,4.89,42.78,0.37,1.98
86,600025,华能水电,83.18,85.8,51.38,21.47,75.95,2.58,73.73
87,300760,迈瑞医疗,89.86,51.15,14.58,23.12,4.09,4.52,1.7
88,601985,XD中国核,80.12,31.2,60.41,21.96,83.82,1.51,26.61
89,300433,蓝思科技,-3.52,13.4,45.62,52.55,82.57,3.31,76.24
90,301377,鼎泰高科,18.67,39.05,63.89,289.92,97.18,62.11,97.18
91,601688,华泰证券,24.16,56.79,14.78,10.23,22.16,1.01,39.55
92,600406,国电南瑞,44.73,15.26,2.09,21.42,11.11,3.33,22.31
93,600930,华电新能,8.55,-0.91,1.39,27.75,0.41,1.61,0.41
94,300604,长川科技,-9.3,51.6,76.2,112.43,51.09,34.72,99.13
95,600176,中国巨石,-4.61,27.57,60.24,45.87,98.41,5.43,98.74
96,002352,顺丰控股,80.34,45.11,19.51,15.27,1.06,1.74,1.06
97,000063,中兴通讯,19.91,27.3,16.36,38.48,90.58,2.25,29.74
98,001399,惠科股份,-3.5,,,45.33,6.25,6.5,6.25
99,600031,XD三一重,37.35,55.04,1.92,20.37,45.05,1.89,8.88
100,601995,中金公司,25.27,66.35,55.45,15.08,2.6,1.66,12.06
