排名,代码,名称,最新价,总市值,流通市值,行业,成交额,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,688825,长鑫科技,53.47,3629762777647,240777493779,半导体,11163612546.0,81.06,873.6417332025,776.05,3427.75691436574,84.7418874692
2,601398,工商银行,8.14,2901146932704,2194643410067,银行Ⅱ,1952428979.0,4.315,9.0769670235,1736.82,3.318798593719,0.0
3,601939,建设银行,10.91,2854060161718,104666804481,银行Ⅱ,896807043.0,4.76,10.7174470481,1695.64,4.620054789111,0.0
4,601288,农业银行,6.89,2411383103385,2199592612254,银行Ⅱ,1607673973.0,5.07,11.0651273055,1463.81,4.925094975271,0.0
5,601988,中国银行,6.58,2120157669736,1386837087687,银行Ⅱ,1165279925.0,4.33,8.4801658344,1235.94,5.104982524173,0.0
6,600941,中国移动,96.9,2101851858673,87478206312,通信服务,554451049.0,5.6,-1.054491889,789.34,-6.293108565323,29.5120205935
7,601857,中国石油,10.62,1943682784427,1719612466427,炼化及贸易,1225927235.0,6.3,5.3426812439,1039.34,22.029798875204,21.8708980937
8,600519,贵州茅台,1266.98,1583828386835,1583828386835,白酒Ⅱ,2217338283.0,16.75,1.3000994756,445.17,-1.951594855028,89.5552128279
9,600938,中国海油,32.57,1548050601259,97384300000,油气开采Ⅱ,1613080904.0,10.21,16.8837424377,858.18,23.420534134871,53.4636940575
10,300750,宁德时代,304.3,1408067468088,1296501166995,电池,10542488908.29,12.08,54.8003691485,432.84,41.983941749454,23.9283938867
11,601138,工业富联,61.27,1215847534241,1215847534241,消费电子,3600990659.0,13.36,54.634987688,237.4,95.985786599041,7.1506831245
12,300308,中际旭创,896.0,1055407038336,994503554688,通信设备,20684420945.95,37.62,182.4913813287,136.51,241.696005716117,46.2521843492
13,601628,中国人寿,37.15,1050033790750,773594139500,保险Ⅱ,560903432.0,21.07,81.5399084582,1344.89,228.574918765728,0.0
14,600036,招商银行,40.6,1023925731401,837535143817,银行Ⅱ,2254684284.0,6.71,4.8314692679,764.45,2.021887094622,0.0
15,688981,中芯国际,118.62,1015655825073,237310449486,半导体,2919376395.0,2.9,19.435688378,44.67,94.163023835373,23.1558234006
16,601088,中国神华,46.48,1008124906450,766503444148,煤炭开采,826315976.0,5.83,7.9322551775,287.15,4.103977087336,35.4841606017
17,601318,中国平安,53.35,966042700433,568714472178,保险Ⅱ,2099595280.0,9.0,15.010118462,925.85,36.060370038356,0.0
18,601899,紫金矿业,30.9,821653081820,636595408026,工业金属,9523260775.0,19.6,15.7816890732,391.7,68.170288138556,37.7472369593
19,002594,比亚迪,84.97,774688277098,296296229308,乘用车,2200169059.39,4.86,-7.1281672659,123.25,-20.535238859941,18.8473478975
20,600900,长江电力,28.46,696365476197,696365476197,电力,1768595625.0,6.55,3.3562259885,147.56,13.015444431533,57.8922527476
