排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,688825,长鑫科技,-3.48,69.4,,9.7,79.76,,53.47,-2.96,44.37,2.56,26.94,30.77,56.452,,,-5.28,1.08,0.66,111.64,2.56,30.77,半导体
2,601398,工商银行,70.21,90.6,101.61,67.48,90.28,92.17,8.14,0.37,7.75,95.98,0.73,70.35,8.027,7.7,1.0,1.41,0.94,0.76,19.52,97.02,94.79,银行Ⅱ
3,601939,建设银行,50.87,86.39,101.4,50.71,93.76,104.26,10.91,0.55,8.24,97.35,0.8,73.9,10.845,10.347,1.0,0.6,0.79,0.7,8.97,99.09,99.17,银行Ⅱ
4,601288,农业银行,48.38,85.19,57.26,51.09,95.38,38.97,6.89,0.15,8.09,92.06,0.84,84.16,6.888,6.599,1.0,0.03,0.83,0.65,16.08,86.2,86.53,银行Ⅱ
5,601988,中国银行,63.16,93.09,104.78,61.41,95.24,103.35,6.58,0.3,8.51,99.86,0.77,94.33,6.426,6.043,1.0,2.4,0.79,0.7,11.65,99.75,99.75,银行Ⅱ
6,600941,中国移动,1.07,65.87,81.2,-1.41,88.69,65.84,96.9,-0.04,15.95,52.5,1.48,33.48,98.287,95.105,1.0,-1.41,0.85,0.66,5.54,52.5,33.48,通信服务
7,601857,中国石油,9.05,57.65,40.54,22.63,94.58,41.68,10.62,-1.76,11.04,44.21,1.19,83.07,10.921,10.308,1.0,-2.76,0.88,0.94,12.26,72.73,82.98,炼化及贸易
8,600519,贵州茅台,3.57,22.26,34.18,-3.92,63.08,39.7,1266.98,0.71,19.45,2.36,6.3,2.41,1292.581,1281.212,1.0,-1.98,0.8,0.58,22.17,4.13,4.21,白酒Ⅱ
9,600938,中国海油,9.93,68.13,27.21,16.47,94.45,28.65,32.57,-1.54,11.19,81.72,1.81,72.48,33.764,31.574,1.0,-3.54,0.94,1.1,16.13,81.72,72.48,油气开采Ⅱ
10,300750,宁德时代,8.58,-5.31,-3.68,10.88,4.11,24.09,304.3,-0.39,16.57,3.68,3.71,2.64,349.953,371.948,0.0,-13.05,0.82,1.25,105.42,6.12,4.21,电池
11,601138,工业富联,2.28,59.53,32.93,6.38,70.06,37.74,61.27,-1.7,25.92,85.88,6.92,90.0,62.942,63.212,0.0,-2.66,0.85,0.51,36.01,76.94,84.63,消费电子
12,300308,中际旭创,67.74,25.35,29.22,74.4,17.33,35.52,896.0,-1.3,51.6,57.45,26.48,95.89,873.092,982.912,0.0,2.62,0.96,0.77,206.84,62.48,92.81,通信设备
13,601628,中国人寿,-2.12,7.83,25.45,-1.65,28.09,25.61,37.15,-0.27,4.24,0.05,1.58,3.64,38.156,38.184,0.0,-2.64,0.72,0.49,5.61,0.08,6.36,保险Ⅱ
14,600036,招商银行,3.1,83.79,93.91,30.88,100.41,76.24,40.6,-0.78,6.75,30.54,0.89,15.6,40.583,38.853,1.0,0.04,0.85,0.79,22.55,53.39,27.27,银行Ⅱ
15,688981,中芯国际,48.85,-0.94,33.22,41.13,-4.48,47.92,118.62,-1.89,140.92,63.47,5.92,82.73,121.765,134.497,0.0,-2.58,0.83,0.61,29.19,60.91,83.06,半导体
16,601088,中国神华,50.97,71.71,72.99,62.82,92.75,73.1,46.48,-1.32,18.68,95.79,2.24,98.06,47.299,44.659,1.0,-1.73,0.84,0.66,8.26,92.64,96.61,煤炭开采
17,601318,中国平安,-7.74,59.27,21.81,-8.81,89.07,18.17,53.35,-0.3,6.06,0.09,0.94,18.01,54.874,52.175,1.0,-2.78,0.76,0.57,21.0,0.17,31.49,保险Ⅱ
18,601899,紫金矿业,2.81,48.66,27.02,13.71,77.28,28.84,30.9,-3.95,12.14,4.68,4.07,74.56,33.408,31.25,1.0,-7.51,1.61,1.26,95.23,8.18,73.14,工业金属
19,002594,比亚迪,47.58,3.09,26.97,29.39,11.65,37.48,84.97,1.2,26.32,22.7,3.23,25.44,87.597,88.832,0.0,-3.0,1.03,0.97,22.0,39.67,0.83,乘用车
20,600900,长江电力,78.01,45.92,90.05,80.19,57.09,86.46,28.46,0.0,19.24,52.58,3.22,85.86,28.257,27.959,1.0,0.72,0.72,0.68,17.69,24.05,75.37,电力
21,688256,寒武纪,83.17,27.03,40.71,80.49,10.05,48.54,1105.99,-2.64,208.73,78.64,51.31,89.05,1063.915,1187.762,0.0,3.95,0.89,0.77,97.71,73.55,86.45,半导体
22,601328,交通银行,87.87,101.88,107.52,93.17,103.83,86.39,7.58,0.0,6.87,94.23,0.57,67.04,7.337,6.995,1.0,3.31,1.08,1.17,13.77,93.39,84.55,银行Ⅱ
23,000333,美的集团,18.82,54.21,87.53,29.83,76.5,93.01,85.04,0.05,14.62,52.01,3.06,49.69,86.338,83.87,1.0,-1.5,0.82,0.81,15.27,80.91,85.45,白色家电
24,601658,邮储银行,12.68,74.48,83.07,16.81,78.9,63.66,5.38,-0.19,7.2,77.25,0.62,25.43,5.302,5.1,1.0,1.47,0.9,0.8,7.57,87.11,34.55,银行Ⅱ
25,600028,中国石化,-11.6,48.03,13.89,-9.83,94.59,13.0,5.14,-1.34,17.27,84.3,0.74,33.81,5.394,5.124,1.0,-4.71,0.94,0.81,9.57,82.4,33.06,炼化及贸易
26,300502,新易盛,72.46,30.26,35.76,65.89,20.51,40.73,424.34,0.15,45.11,41.04,24.36,93.29,407.656,455.96,0.0,4.09,1.11,0.87,150.86,54.21,88.26,通信设备
27,601728,中国电信,64.67,76.23,68.49,69.42,87.46,58.51,6.25,-0.16,19.22,77.82,1.21,55.81,6.236,5.984,1.0,0.22,0.64,0.61,3.84,77.6,55.21,通信服务
28,688041,海光信息,40.86,-1.7,9.28,30.44,-5.22,31.98,232.0,-1.31,171.63,59.4,21.25,72.96,238.348,286.646,0.0,-2.66,0.8,0.67,30.21,59.4,72.96,半导体
29,601998,中信银行,58.52,105.62,100.3,54.39,109.9,82.25,8.94,0.79,6.93,91.96,0.67,77.12,8.79,7.921,1.0,1.71,1.0,0.74,3.82,98.68,97.85,银行Ⅱ
