排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.748,0.42,1178.66,1178.66,42.76,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(531.18亿)；沪深300ETF华夏(431.61亿)；沪深300ETF嘉实(314.26亿)；沪深300ETF天弘(84.31亿)
2,588000,科创50ETF华夏,1.833,1.5,904.85,904.85,52.86,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(422.94亿)；科创50ETF工银(111.56亿)；科创50ETF广发(78.63亿)
3,159915,创业板ETF易方达,3.621,1.57,657.84,657.84,47.52,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(116.4亿)；创业板ETF天弘(64.97亿)
4,512880,证券ETF国泰,1.097,0.37,638.35,638.35,15.6,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(394.0亿)；证券ETF天弘(120.75亿)；券商ETF银华(98.64亿)；证券ETF南方(81.52亿)
5,588200,科创芯片ETF嘉实,1.218,1.84,515.03,515.03,32.65,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(75.5亿)
6,563360,A500ETF华泰柏瑞,1.316,0.77,438.81,438.81,41.01,中证A500指数,指数型-股票,中证A500,A500ETF南方(360.57亿)；A500ETF易方达(291.11亿)；中证A500ETF国泰(280.64亿)；A500ETF华夏(213.11亿)
7,159516,半导体设备ETF国泰,0.757,2.44,431.03,431.03,38.84,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(210.09亿)；半导体设备ETF广发(128.93亿)；半导体设备ETF华夏(87.88亿)
8,510500,中证500ETF南方,8.053,0.8,428.37,428.37,14.54,中证500指数,指数型-股票,中证500,中证500ETF嘉实(90.64亿)；中证500ETF华夏(85.34亿)
9,515880,通信ETF国泰,0.665,2.94,407.22,407.22,35.85,中证全指通信设备指数,指数型-股票,通信,
10,588170,科创半导体ETF华夏,1.04,2.16,403.45,403.45,59.13,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(113.15亿)
11,512890,红利低波ETF华泰柏瑞,1.159,-0.34,320.5,320.5,5.18,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(122.7亿)
12,159995,芯片ETF华夏,1.209,1.85,282.62,282.62,6.81,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(69.03亿)
13,159949,创业板50ETF华安,1.697,1.86,261.05,261.05,16.2,创业板50指数,指数型-股票,创业板,
14,512400,有色金属ETF南方,1.94,0.94,260.52,260.52,14.08,有色金属,指数型-股票,有色金属,
15,512170,医疗ETF华宝,0.35,-0.28,259.74,259.74,4.66,中证医疗指数,指数型-股票,医药,
16,512100,中证1000ETF南方,3.156,1.15,246.14,246.14,32.3,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(97.8亿)；中证1000ETF广发(67.33亿)
17,159326,电网设备ETF华夏,1.707,1.19,218.28,218.28,5.81,中证电网设备主题指数,指数型-股票,其他,
18,510050,上证50ETF华夏,3.043,0.13,217.47,217.47,10.65,上证50指数,指数型-股票,上证50,
19,159819,人工智能ETF易方达,1.832,0.88,213.71,213.71,4.27,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(84.99亿)
20,510880,红利ETF华泰柏瑞,3.303,-0.18,205.77,205.77,3.9,上证红利指数,指数型-股票,红利,
21,512480,半导体ETF国联安,1.088,1.68,205.39,205.39,12.46,中证全指半导体产品与设备指数,指数型-股票,半导体,
