排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,00700,腾讯控股,433.0,-1.19,39416.66,75.98,14.77,3.01,9.9663537853,0.0,0.0,0.0,0.0
2,00005,汇丰控股,163.5,0.55,28067.54,22.89,14.89,2.07,7.4073136207,0.0,0.0,0.0,0.0
3,01398,工商银行,7.545,-1.89,26890.85,13.03,6.35,0.59,4.052663012,0.0,0.0,0.0,0.0
4,03750,宁德时代,567.5,0.53,26256.92,10.1,27.25,6.01,12.0827161258,0.0,0.0,0.0,0.0
5,00939,建设银行,9.565,-1.09,25022.08,23.68,6.37,0.61,4.5376835478999995,0.0,0.0,0.0,0.0
6,01288,农业银行,6.395,-2.81,22381.42,5.94,6.63,0.68,4.4593032714000005,0.0,0.0,0.0,0.0
7,09988,阿里巴巴-W,107.5,-2.18,21376.36,75.56,25.16,1.7,0.9987987878,0.0,0.0,0.0,0.0
8,03988,中国银行,5.95,-0.83,19171.64,11.34,6.79,0.61,4.0097334841,0.0,0.0,0.0,0.0
9,00857,中国石油股份,10.02,-0.79,18338.7,4.52,9.15,0.97,6.3861639668,0.0,0.0,0.0,0.0
10,00941,中国移动,79.25,-0.31,17190.07,8.12,11.44,1.02,5.4714246401999995,0.0,0.0,0.0,0.0
11,03968,招商银行,51.9,0.29,13089.1,8.6,7.6,0.99,5.8401593944,0.0,0.0,0.0,0.0
12,00883,中国海洋石油,24.74,-1.12,11758.91,9.02,7.46,1.19,10.346972879299999,0.0,0.0,0.0,0.0
13,03308,中际旭创,995.0,0.04,11720.2,13.41,50.32,24.18,39.213740819499996,0.0,0.0,0.0,0.0
14,02318,中国平安,56.95,2.71,10312.3,34.15,5.69,0.87,9.1284065146,0.0,0.0,0.0,0.0
15,01088,中国神华,44.78,-1.67,9712.53,3.31,15.57,1.84,6.342903654400001,0.0,0.0,0.0,0.0
16,02899,紫金矿业,36.34,1.51,9663.07,14.18,12.57,4.16,20.0147693811,0.0,0.0,0.0,0.0
17,02628,中国人寿,29.92,-0.2,8456.8,14.34,3.01,1.11,21.35749495,0.0,0.0,0.0,0.0
18,01299,友邦保险,77.3,1.71,7997.96,16.31,12.84,2.51,10.2330680139,0.0,0.0,0.0,0.0
19,01211,比亚迪股份,85.7,0.53,7813.44,14.74,23.47,2.83,4.861201831100001,0.0,0.0,0.0,0.0
20,00300,美的集团,100.5,0.55,7667.18,5.02,15.16,3.12,12.1289184915,0.0,0.0,0.0,0.0
