排名,代码,名称,最新价,涨跌幅%,总市值(亿港元),成交额(亿港元),PE_TTM,PB_MRQ
1,00700,腾讯控股,457.0,1.24,41601.28,100.68,15.59,3.18
2,03750,宁德时代,652.5,3.74,30188.92,11.59,31.33,6.91
3,00005,汇丰控股,162.9,1.62,27977.71,18.5,14.84,2.06
4,01398,工商银行,7.475,0.0,26641.37,14.88,6.41,0.6
5,00939,建设银行,9.245,0.49,24184.96,21.97,6.32,0.6
6,09988,阿里巴巴-W,123.0,-2.54,23585.24,182.5,27.76,1.94
7,01288,农业银行,6.28,0.16,21978.93,6.49,6.67,0.69
8,00857,中国石油股份,10.13,1.0,18540.03,8.1,10.45,1.01
9,00941,中国移动,82.8,0.49,17957.01,13.65,11.95,1.07
10,03988,中国银行,5.505,1.19,17737.79,11.47,6.47,0.57
11,03968,招商银行,49.44,0.9,12468.69,5.42,7.39,0.97
12,00883,中国海洋石油,25.18,2.11,11968.04,17.51,8.56,1.26
13,02899,紫金矿业,38.56,4.9,10253.38,29.8,14.85,4.59
14,02318,中国平安,56.2,3.88,10176.49,31.6,5.62,0.86
15,01088,中国神华,45.02,1.31,9764.58,3.18,16.55,1.74
16,01211,比亚迪股份,93.15,1.47,8492.67,13.33,27.56,3.23
17,02628,中国人寿,28.06,5.09,7931.08,16.15,4.91,1.17
18,01299,友邦保险,75.15,3.3,7775.5,28.0,12.48,2.44
19,01810,小米集团-W,29.02,4.54,7475.13,51.87,19.98,2.41
20,00300,美的集团,96.9,-0.36,7392.31,1.68,14.92,2.8
21,03328,交通银行,7.56,1.07,6680.3,1.77,6.19,0.51
22,09999,网易,202.0,4.45,6481.7,28.79,17.53,3.37
23,00981,中芯国际,72.5,0.55,6206.77,28.07,76.42,3.15
24,02359,药明康德,205.8,-0.39,6099.11,14.33,24.47,6.36
25,01658,邮储银行,4.935,0.61,5926.69,2.11,6.01,0.51
26,02388,中银香港,51.0,1.69,5392.12,4.91,13.44,1.5
27,00388,香港交易所,421.0,0.77,5337.59,21.96,26.95,8.8
28,00386,中国石油化工股份,4.405,0.8,5326.77,4.25,13.04,0.56
29,02513,智谱,1129.0,10.36,5256.88,94.43,-101.06,-5.08
30,03690,美团-W,85.0,-0.99,5249.15,36.15,-11.8,3.09
31,02888,渣打集团,234.0,1.56,5116.69,1.5,12.11,1.41
32,09633,农夫山泉,42.54,0.71,4784.25,2.66,27.23,10.95
33,02475,立讯精密,61.1,3.04,4727.81,1.47,24.59,4.45
34,00728,中国电信,4.885,3.28,4470.12,4.15,13.13,0.82
35,00998,中信银行,8.005,1.59,4454.4,1.54,5.58,0.53
36,02259,紫金黄金国际,160.3,8.09,4290.17,21.08,21.72,5.86
37,06030,中信证券,26.24,1.47,4099.81,4.08,9.09,1.14
38,00267,中信股份,13.19,6.2,3837.01,3.79,5.9,0.44
39,00016,新鸿基地产,128.2,2.81,3714.95,11.08,16.89,0.6
40,00992,联想集团,29.78,0.2,3694.11,23.66,59.16,6.53
41,03993,洛阳钼业,17.0,1.67,3637.03,6.7,11.51,3.52
42,02328,中国财险,16.09,3.61,3578.86,4.02,8.48,1.08
43,03986,兆易创新,503.0,2.61,3529.78,12.71,38.84,8.22
44,06160,百济神州,228.0,0.09,3516.41,8.82,68.63,10.35
45,06809,澜起科技,272.0,1.27,3319.86,6.04,115.85,14.08
46,01276,恒瑞医药,48.2,-2.94,3199.13,4.84,36.36,4.31
47,02338,潍柴动力,33.42,4.11,2887.56,4.23,22.81,2.7
48,02601,中国太保,29.46,3.3,2834.15,3.67,4.71,0.78
49,01919,中远海控,17.95,5.4,2740.63,9.18,9.74,1.03
50,02378,保诚,109.7,1.57,2740.55,0.17,8.85,1.79
51,00001,长和,70.8,1.58,2711.67,4.25,7.18,0.47
52,02611,国泰海通,15.03,1.9,2642.43,1.47,7.17,0.7
53,00669,创科实业,143.2,1.34,2617.29,5.63,25.7,4.48
54,01109,华润置地,35.38,0.4,2522.93,4.84,8.97,0.79
55,01339,中国人民保险集团,5.275,4.15,2332.82,0.96,4.94,0.64
56,02476,胜宏科技,233.6,3.0,2295.79,5.15,43.85,10.34
57,01378,中国宏桥,23.18,3.48,2276.14,6.92,9.08,1.57
58,06951,三环集团,113.7,3.18,2270.27,1.42,70.56,8.59
59,02269,药明生物,51.0,2.74,2113.95,18.7,38.9,4.03
60,00066,港铁公司,33.92,1.44,2111.46,1.91,9.24,1.03
61,02020,安踏体育,74.1,-1.07,2072.32,2.98,13.78,2.85
62,00175,吉利汽车,18.75,1.13,2022.21,10.45,10.66,1.86
63,00002,中电控股,79.8,1.2,2016.11,3.75,18.6,1.83
64,03692,翰森制药,33.08,-1.78,2006.02,4.16,32.61,5.12
65,06690,海尔智家,21.34,0.38,2001.19,2.62,9.54,1.41
66,01347,华虹宏力,114.8,2.59,1994.91,24.83,248.64,3.56
67,09992,泡泡玛特,149.0,-3.06,1984.35,64.22,13.29,7.47
68,02714,牧原股份,33.7,-5.07,1945.5,1.25,-139.17,2.13
69,03288,海天味业,32.04,-0.5,1874.67,0.61,22.93,3.94
70,06818,中国光大银行,3.045,-0.16,1799.16,0.29,4.24,0.31
71,01801,信达生物,102.4,1.19,1785.53,15.62,198.23,8.29
72,00762,中国联通,5.81,2.02,1777.75,3.66,9.84,0.41
73,06031,三一重工,19.05,1.76,1751.65,0.44,18.55,1.71
74,06936,顺丰控股,32.62,-0.06,1715.21,0.15,13.45,1.45
75,01038,长江基建集团,66.55,1.99,1676.8,1.33,6.66,1.13
76,01113,长实集团,47.32,1.63,1656.1,1.82,12.52,0.41
77,00788,中国铁塔,9.35,1.63,1645.68,0.95,10.84,0.69
78,00027,银河娱乐,36.0,1.75,1576.53,10.05,14.72,1.86
79,09973,奇瑞汽车,26.96,5.56,1566.0,2.01,7.72,2.51
80,02423,贝壳-W,45.38,2.86,1559.15,3.85,28.79,2.08
81,00688,中国海外发展,14.1,-0.35,1543.23,2.95,10.98,0.36
82,01988,民生银行,3.5,1.16,1532.38,0.53,4.63,0.24
83,06886,华泰证券,16.97,2.41,1531.86,1.8,7.8,0.76
84,01766,中国中车,5.24,-0.76,1503.82,0.87,9.49,0.74
85,03606,福耀玻璃,57.4,-0.43,1497.99,2.21,15.58,3.41
86,01336,新华保险,47.84,3.64,1492.39,4.19,3.63,1.07
87,01024,快手-W,34.42,2.32,1489.32,31.24,8.36,1.57
88,01898,中煤能源,11.19,-0.18,1483.64,2.64,8.5,0.77
89,01377,鼎泰高科,347.0,4.71,1471.44,0.21,135.39,39.7
90,01972,太古地产,25.4,1.28,1462.4,0.61,44.32,0.54
91,00012,恒基地产,30.2,7.17,1462.1,8.2,21.39,0.45
92,01816,中广核电力,2.88,2.67,1454.37,1.42,13.67,1.02
93,02600,中国铝业,8.4,3.96,1441.02,3.6,8.75,1.58
94,00003,香港中华煤气,7.5,1.49,1399.49,5.6,21.99,2.33
95,01776,广发证券,17.59,3.65,1376.39,1.19,7.86,0.88
96,01929,周大福,13.54,1.12,1335.9,2.29,14.84,4.31
97,00006,电能实业,62.45,1.79,1330.88,1.84,7.44,1.29
98,01308,海丰国际,49.06,5.41,1330.28,4.09,13.47,5.99
99,09987,百胜中国,387.8,2.59,1327.4,4.63,17.5,3.19
100,00358,江西铜业股份,37.44,3.54,1296.45,2.52,14.03,1.36
