排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业,入选标签
88,300274,阳光电源,5.11,3.22,-16.31,0.56,3.01,-9.84,88.75,0.36,16.75,27.24,3.67,33.36,105.324,117.955,0.0,-15.74,0.62,0.71,35.48,31.82,6.78,光伏设备,三周期共振超卖 / 估值+超卖双低
19,002594,比亚迪,-8.35,6.91,30.47,-5.89,42.59,37.48,86.51,-1.02,26.8,23.3,3.29,25.96,89.55,89.042,1.0,-3.39,0.65,0.67,18.97,40.58,0.74,乘用车,估值+超卖双低 / 多头回踩MA20
82,688795,摩尔线程-U,0.06,-7.88,0.87,17.36,-5.38,15.39,415.49,-20.0,-263.41,61.41,16.04,0.54,541.935,606.749,0.0,-23.33,12.64,7.35,34.67,61.41,0.54,半导体,三周期共振超卖
9,300750,宁德时代,2.77,3.19,6.68,1.0,24.56,24.09,348.2,-0.8,18.95,9.94,4.25,12.94,376.986,381.541,0.0,-7.64,1.0,0.94,85.81,16.36,19.5,电池,三周期共振超卖 / 估值+超卖双低
57,601919,中远海控,-10.61,61.46,77.75,-8.3,77.2,78.07,16.0,-0.37,9.13,56.95,1.05,39.63,16.427,15.095,1.0,-2.6,0.84,0.92,13.74,91.57,69.01,航运港口,多头回踩MA20
101,002352,顺丰控股,5.38,6.81,21.27,18.2,33.22,26.07,31.75,-1.46,15.36,1.66,1.63,0.19,32.715,32.898,0.0,-2.95,0.88,1.09,,2.89,0.33,,估值+超卖双低
84,601898,中煤能源,3.55,79.88,29.24,27.36,100.09,33.64,14.53,-4.28,10.51,51.54,1.16,90.89,14.568,13.66,1.0,-0.26,1.08,1.2,8.19,85.21,84.13,煤炭开采,多头回踩MA20
92,600406,国电南瑞,18.07,33.96,4.8,14.61,42.1,9.92,22.69,-0.09,21.7,12.77,3.5,26.63,23.209,23.19,1.0,-2.24,0.8,0.53,5.67,0.83,2.07,电网设备,估值+超卖双低 / 多头回踩MA20
63,601816,京沪高铁,34.17,56.64,78.37,60.6,71.0,77.06,4.84,-1.22,17.38,1.3,1.13,1.86,4.912,4.788,1.0,-1.47,1.22,1.04,7.32,1.74,2.48,铁路公路,多头回踩MA20
55,601225,陕西煤业,-1.22,73.39,82.94,5.15,95.21,86.58,25.69,-2.1,12.21,88.13,2.46,87.47,26.062,24.287,1.0,-1.43,1.26,1.28,12.94,79.34,78.18,煤炭开采,多头回踩MA20
48,300059,东方财富,16.02,8.28,21.75,36.66,8.95,25.81,18.99,-0.84,20.61,1.8,3.05,8.92,19.264,19.819,0.0,-1.42,0.76,0.7,30.18,3.14,15.54,证券Ⅱ,估值+超卖双低
7,601857,中国石油,20.53,87.24,42.79,39.41,100.79,41.68,11.02,-1.34,11.46,48.6,1.23,89.18,11.056,10.331,1.0,-0.33,1.13,0.99,14.62,80.74,88.68,炼化及贸易,多头回踩MA20
17,601088,中国神华,8.14,80.15,70.56,24.48,101.7,73.1,46.09,-3.19,18.52,95.73,2.22,98.1,46.558,43.763,1.0,-1.01,1.6,1.61,21.89,92.56,96.69,煤炭开采,多头回踩MA20
18,601899,紫金矿业,15.3,82.46,34.62,24.4,94.73,28.84,32.87,-1.44,12.92,7.59,4.33,81.3,33.43,30.674,1.0,-1.68,0.72,0.57,49.31,13.22,82.15,工业金属,估值+超卖双低 / 多头回踩MA20
44,002415,海康威视,23.62,33.32,75.24,45.16,36.68,87.52,34.87,0.0,19.45,9.16,3.79,22.64,34.919,34.407,1.0,-0.14,0.97,0.49,14.84,15.95,39.42,计算机设备,多头回踩MA20
10,600938,中国海油,17.88,86.56,29.57,28.35,102.02,28.65,33.12,-0.87,11.38,83.83,1.84,75.56,33.517,31.045,1.0,-1.18,1.08,0.93,14.69,83.83,75.56,油气开采Ⅱ,多头回踩MA20
95,600025,华能水电,29.36,16.46,56.51,63.3,51.82,58.39,9.58,-1.84,21.58,75.94,2.55,70.86,9.687,9.613,1.0,-1.1,1.28,1.45,3.83,79.09,49.26,电力,多头回踩MA20
21,600900,长江电力,22.18,38.86,80.91,67.93,64.28,86.46,27.85,-2.01,18.82,47.08,3.15,81.54,28.198,27.663,1.0,-1.23,1.63,1.5,44.69,17.44,68.43,电力,多头回踩MA20
89,301666,大普微-UW,15.46,17.14,16.02,14.14,12.22,23.24,420.85,3.79,152.09,13.13,50.35,12.12,432.31,511.417,0.0,-2.65,0.95,0.93,11.76,13.13,12.12,计算机设备,三周期共振超卖 / 估值+超卖双低
31,603259,药明康德,29.75,63.27,81.95,35.63,70.32,85.29,153.25,-0.38,21.33,28.92,5.55,48.52,159.139,135.076,1.0,-3.7,0.68,0.39,36.49,48.43,75.45,医疗服务,多头回踩MA20
