排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,00700,腾讯控股,-5.33,3.0,2.18,-1.37,31.42,7.85,425.6,-1.94,14.52,,2.96,,442.83,451.29,0.0,-3.89,1.4,0.97,95.33,,,
2,00005,汇丰控股,74.74,71.29,90.81,87.22,73.8,91.26,164.7,-0.78,14.99,,2.09,,162.9,158.605,1.0,1.1,0.41,0.51,10.16,,,
3,01398,工商银行,48.96,97.65,93.97,34.88,101.16,89.58,7.61,0.86,6.4,,0.59,,7.486,7.142,1.0,1.66,0.83,0.79,10.2,,,
4,03750,宁德时代,25.77,7.6,26.85,22.03,15.15,43.13,561.5,-0.09,26.97,,5.95,,605.875,634.775,0.0,-7.32,0.6,0.73,8.07,,,
5,00939,建设银行,75.04,105.81,101.35,59.9,105.73,96.68,9.77,1.61,6.5,,0.62,,9.325,8.803,1.0,4.72,1.07,1.12,24.07,,,
6,01288,农业银行,22.82,92.11,91.23,20.1,98.97,85.23,6.38,1.27,6.61,,0.68,,6.278,5.919,1.0,1.62,1.02,1.01,5.38,,,
7,09988,阿里巴巴-W,26.42,18.3,17.23,38.68,59.51,18.19,106.9,-2.64,25.02,,1.69,,115.14,111.987,1.0,-7.16,1.08,0.69,70.08,,,
8,03988,中国银行,61.96,99.34,97.18,58.92,105.99,98.64,5.97,0.93,6.81,,0.61,,5.675,5.353,1.0,5.2,0.78,0.8,8.61,,,
9,00857,中国石油股份,50.1,90.2,39.01,84.57,104.97,37.29,10.09,-3.26,9.21,,0.98,,10.035,9.624,1.0,0.55,1.47,1.32,10.39,,,
10,00941,中国移动,13.64,14.24,24.99,11.48,46.25,32.83,78.85,-0.13,11.38,,1.02,,80.412,80.278,1.0,-1.94,0.65,0.6,6.56,,,
11,03308,中际旭创,76.11,43.11,,92.09,30.59,,1121.0,-4.43,56.69,,27.24,,1092.3,,,2.63,0.76,0.65,18.36,,,
12,03968,招商银行,66.99,96.46,89.72,64.78,99.31,69.84,52.15,0.58,7.64,,1.0,,50.249,48.316,1.0,3.78,0.64,0.76,4.78,,,
13,00883,中国海洋石油,47.09,97.56,33.92,85.18,112.17,29.7,25.02,-3.1,7.54,,1.21,,24.961,23.42,1.0,0.24,0.91,1.04,15.4,,,
14,01088,中国神华,84.35,106.69,63.16,73.1,106.18,52.74,46.48,-0.81,16.17,,1.91,,45.167,43.252,1.0,2.91,1.06,1.27,5.21,,,
15,02318,中国平安,-1.06,55.54,8.19,12.68,84.59,11.51,54.85,-1.08,5.48,,0.84,,55.865,55.307,1.0,-1.82,0.98,1.07,20.94,,,
16,02899,紫金矿业,90.58,85.79,40.31,76.68,90.88,26.33,37.34,-0.69,12.91,,4.27,,36.777,33.377,1.0,1.53,0.52,0.36,7.51,,,
17,02628,中国人寿,21.37,89.22,43.22,12.67,90.53,39.01,30.14,2.24,3.04,,1.11,,28.959,28.515,1.0,4.08,0.69,0.64,10.12,,,
18,01299,友邦保险,34.01,64.38,13.48,59.36,73.16,17.12,75.3,-2.14,12.51,,2.44,,74.99,74.918,1.0,0.41,1.55,1.02,23.49,,,
19,00300,美的集团,27.98,91.06,99.6,18.63,100.3,95.76,99.3,0.66,14.98,,3.08,,98.562,93.655,1.0,0.75,1.1,1.11,4.81,,,
20,01211,比亚迪股份,-6.23,10.83,31.92,-6.76,53.45,45.7,79.55,-2.75,21.78,,2.63,,88.355,86.699,1.0,-9.97,1.36,1.45,20.91,,,
21,03328,交通银行,86.26,110.04,108.88,65.72,103.72,97.4,8.06,2.15,6.44,,0.53,,7.66,7.309,1.0,5.22,2.35,2.46,5.48,,,
22,01810,小米集团-W,-2.36,27.2,27.51,3.58,67.41,25.67,25.92,-1.74,17.85,,2.15,,27.354,26.386,1.0,-5.24,0.98,0.93,38.51,,,
23,01658,邮储银行,57.09,91.07,86.43,59.69,94.14,65.17,5.37,0.66,6.31,,0.53,,5.13,4.941,1.0,4.58,0.59,0.52,1.34,,,
24,09999,网易,22.07,-0.8,28.02,18.33,12.2,42.99,183.1,-0.05,15.89,,3.05,,191.425,197.243,0.0,-4.35,0.98,1.13,13.83,,,
25,00386,中国石油化工股份,77.0,107.8,41.99,93.89,110.45,26.79,4.84,-1.52,14.47,,0.61,,4.636,4.355,1.0,4.51,0.78,0.86,4.77,,,
26,02359,药明康德,46.54,64.18,83.43,45.25,72.64,85.49,191.0,-1.14,23.04,,5.9,,197.415,172.238,1.0,-3.25,0.74,0.37,4.79,,,
27,02388,中银香港,43.15,91.41,93.83,66.96,100.08,94.79,51.7,-0.48,13.11,,1.52,,51.206,48.937,1.0,0.96,0.62,0.76,4.22,,,
28,00981,中芯国际,-4.89,10.98,32.2,-2.13,23.65,46.41,63.45,-2.38,66.89,,2.75,,69.517,72.218,0.0,-8.73,0.94,0.68,34.58,,,
29,02888,渣打集团,100.76,86.07,97.93,105.78,79.77,93.85,241.8,-0.33,12.49,,1.46,,234.58,227.41,1.0,3.08,0.53,0.54,1.11,,,
30,00388,香港交易所,-8.8,50.88,53.45,-5.59,88.24,62.58,397.0,-0.85,25.42,,8.3,,411.22,398.007,1.0,-3.46,1.19,0.83,11.05,,,
31,00998,中信银行,58.83,108.61,91.16,56.51,112.75,70.71,8.43,0.48,5.76,,0.55,,8.098,7.506,1.0,4.1,0.62,0.86,1.55,,,
32,03690,美团-W,25.57,3.93,38.63,70.26,40.93,48.97,74.75,-3.92,-10.82,,2.37,,80.907,81.752,0.0,-7.61,1.46,1.15,35.74,,,
33,02475,立讯精密,-0.04,48.21,,25.66,60.73,,58.2,-5.98,22.38,,3.97,,61.233,,,-4.95,0.9,0.63,1.48,,,
34,09633,农夫山泉,-5.94,19.96,-1.85,0.34,58.09,12.55,39.58,-2.46,22.9,,10.4,,42.22,42.099,1.0,-6.25,1.89,1.56,4.0,,,
35,02259,紫金黄金国际,90.79,112.02,31.87,83.39,113.15,15.38,164.3,0.67,22.26,,6.0,,153.005,124.972,1.0,7.38,0.64,0.43,6.8,,,
36,00728,中国电信,1.27,45.31,26.08,-10.61,80.0,30.27,4.61,1.21,12.37,,0.78,,4.749,4.617,1.0,-3.03,1.44,1.35,4.61,,,
37,06030,中信证券,7.19,21.95,39.36,3.89,40.97,50.33,25.92,0.39,8.98,,1.13,,26.585,27.159,0.0,-2.5,1.05,1.05,3.82,,,
38,00992,联想集团,85.61,73.12,96.01,79.82,70.31,92.2,32.26,-0.49,64.14,,7.07,,31.041,26.416,1.0,3.93,0.54,0.48,17.86,,,
39,00267,中信股份,80.56,112.53,84.72,78.35,114.61,59.69,13.72,-0.44,5.73,,0.43,,13.03,12.137,1.0,5.3,0.56,0.74,1.67,,,
40,02513,智谱,-11.78,0.58,14.39,-8.64,11.46,28.21,819.0,-10.34,-76.14,,71.8,,1068.325,1355.292,0.0,-23.34,1.38,1.15,60.59,,,
41,02328,中国财险,35.81,92.26,86.43,40.42,95.2,66.95,17.04,1.25,6.88,,1.08,,16.439,15.534,1.0,3.66,0.8,0.88,3.92,,,
42,03993,洛阳钼业,92.21,57.82,10.81,94.46,53.56,5.07,17.34,-2.58,11.74,,3.59,,17.058,16.827,1.0,1.65,0.8,0.68,4.74,,,
43,00016,新鸿基地产,67.29,45.15,29.39,68.0,65.8,33.11,116.7,-1.35,15.78,,0.53,,119.94,118.568,1.0,-2.7,0.99,1.08,6.19,,,
