排名,代码,名称,最新价,总市值,流通市值,行业,成交额,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
1,688825,长鑫科技,55.1,3740413859143,248117447302,半导体,11669203152.0,81.06,873.6417332025,776.05,3427.75691436574,84.7418874692
2,601398,工商银行,8.11,2890454744992,2186555043691,银行Ⅱ,1838400063.0,4.315,9.0769670235,1736.82,3.318798593719,0.0
3,601939,建设银行,10.85,2838364138830,104091185025,银行Ⅱ,865903806.0,4.76,10.7174470481,1695.64,4.620054789111,0.0
4,601288,农业银行,6.88,2407883273046,2196400170146,银行Ⅱ,1431392576.0,5.07,11.0651273055,1463.81,4.925094975271,0.0
5,601988,中国银行,6.56,2113713421500,1382621777390,银行Ⅱ,1173946361.0,4.33,8.4801658344,1235.94,5.104982524173,0.0
6,600941,中国移动,96.94,2102719496179,87514317027,通信服务,577688695.0,5.6,-1.054491889,789.34,-6.293108565323,29.5120205935
7,601857,XD中国石,10.81,1978456770213,1750377661213,炼化及贸易,1225614772.0,6.3,5.3426812439,1039.34,22.029798875204,21.8708980937
8,600519,贵州茅台,1258.0,1572602654058,1572602654058,白酒Ⅱ,3307926407.0,16.75,1.3000994756,445.17,-1.951594855028,89.5552128279
9,600938,中国海油,33.08,1572290877791,98909200000,油气开采Ⅱ,1300683710.0,10.21,16.8837424377,858.18,23.420534134871,53.4636940575
10,300750,宁德时代,305.48,1413527604835,1301528677271,电池,23980354879.11,12.08,54.8003691485,432.84,41.983941749454,23.9283938867
11,601138,工业富联,62.33,1236882272062,1236882272062,消费电子,4311818070.0,13.36,54.634987688,237.4,95.985786599041,7.1506831245
12,300308,中际旭创,907.8,1069306372100,1007600811323,通信设备,21471490117.99,37.62,182.4913813287,136.51,241.696005716117,46.2521843492
13,601628,中国人寿,37.25,1052860261250,775676492500,保险Ⅱ,652080236.0,21.07,81.5399084582,1344.89,228.574918765728,0.0
14,688981,中芯国际,120.9,1035177788327,241871803598,半导体,4675964047.0,2.9,19.435688378,44.67,94.163023835373,23.1558234006
15,600036,招商银行,40.92,1031996081993,844136406035,银行Ⅱ,2195191417.0,6.71,4.8314692679,764.45,2.021887094622,0.0
16,601088,中国神华,47.1,1021572355718,776727887681,煤炭开采,930992742.0,5.83,7.9322551775,287.15,4.103977087336,35.4841606017
17,601318,中国平安,53.51,968939923152,570420082591,保险Ⅱ,2997719393.0,9.0,15.010118462,925.85,36.060370038356,0.0
18,601899,紫金矿业,32.17,855423289390,662759685314,工业金属,6038730153.0,19.6,15.7816890732,391.7,68.170288138556,37.7472369593
19,002594,比亚迪,83.96,765479907557,292774289899,乘用车,1481032772.36,4.86,-7.1281672659,123.25,-20.535238859941,18.8473478975
20,688256,寒武纪,1136.01,714384441628,714384441628,半导体,14966583894.0,18.05,108.1331369113,23.11,122.613513635372,55.2505731603
21,600900,长江电力,28.46,696365476197,696365476197,电力,1637465743.0,6.55,3.3562259885,147.56,13.015444431533,57.8922527476
22,601328,交通银行,7.58,669797484410,197629091933,银行Ⅱ,1073091629.0,4.045,6.7295003299,478.74,4.037726008345,0.0
23,000333,美的集团,85.0,648494426150,585259229755,白色家电,2546175026.49,11.33,3.4561222865,264.46,1.661997971068,25.2557645483
24,601658,邮储银行,5.39,647312338322,390924845261,银行Ⅱ,755971388.0,4.8,7.2645809882,515.03,4.621353701146,0.0
25,600028,中国石化,5.21,629478749866,493117217473,炼化及贸易,1024748093.0,3.06,1.9523055217,256.27,19.289670902574,19.2430394532
26,300502,新易盛,423.69,590936236468,531613904790,通信设备,15905780480.64,34.86,100.3392340098,75.29,90.984424978074,48.4397325072
27,601728,中国电信,6.26,572834688256,485962101656,通信服务,394717304.0,4.2,-3.8643498262,195.88,-14.898970046109,29.7628442917
28,688041,海光信息,235.09,546428641813,546428641813,半导体,4503004549.0,7.56,66.5195709856,17.98,49.691219941746,55.2090490096
29,601998,中信银行,8.87,493572589282,361567803676,银行Ⅱ,456534407.0,4.805,3.0507963718,376.02,3.081309282307,0.0
30,002371,北方华创,662.89,481052113788,480652048404,半导体,6463950936.49,8.58,24.9038763685,33.7,5.051223129423,40.0682862059
31,603259,药明康德,157.71,478138603386,390061027597,医疗服务,4910186413.0,13.19,38.9349828598,110.8,29.427935686791,53.9094753581
32,688347,华虹宏力,224.08,432137113440,91368620000,半导体,3582787799.0,0.86,19.4147741706,3.99,436.692371841556,19.4457765387
33,600030,中信证券,26.45,413262000007,322069773262,证券Ⅱ,2133500842.0,7.81,50.0035284024,233.43,69.601525447949,0.0
34,002475,立讯精密,52.89,409256302524,387426245707,消费电子,4254564353.96,8.76,40.1605518581,78.43,18.036983291456,11.7785360877
35,688235,百济神州,252.35,389195665425,29034194861,化学制药,547297810.0,9.9,26.8363500983,32.71,627.147475232556,89.4529871532
36,603993,洛阳钼业,17.84,381674493540,311501424420,工业金属,2268911529.0,18.29,42.7839090612,161.52,86.272667882062,23.0090744347
37,601869,长飞光纤,461.0,381664254788,187321962754,通信设备,6055233409.0,19.22,53.637732146,29.25,888.878405244955,53.3612070059
38,601166,兴业银行,17.8,376698899331,376698899331,银行Ⅱ,1120183039.0,4.79,-0.2543953358,411.31,-4.659140956399,0.0
39,600183,生益科技,154.48,375232486942,372566963429,元件,9871775118.0,18.17,50.0454791459,32.87,130.423998654866,30.6922750301
40,002384,东山精密,192.0,351668646144,266173770816,元件,11639687839.57,12.88,63.9481879305,29.57,290.089113632119,20.1513507952
41,601319,中国人保,7.72,341409207301,274042680821,保险Ⅱ,478453935.0,11.2,9.5986593172,367.45,38.503580851866,0.0
42,688012,中微公司,352.6,337735211905,332218675599,半导体,7476570102.0,11.56,34.8886347323,28.25,300.216524117415,39.7417373409
43,601601,中国太保,32.02,308043333389,219178227389,保险Ⅱ,889217949.0,9.7,5.8056021068,307.75,10.36399497938,0.0
44,601211,国泰海通,17.5,307668514090,235359670420,证券Ⅱ,715347216.0,6.12,97.5628794336,202.6,28.736487658757,0.0
45,600000,浦发银行,9.1,303083128530,303083128530,银行Ⅱ,656348140.0,3.96,3.5534844687,309.51,4.082456199348,0.0
46,002415,海康威视,32.61,298866461246,294993115883,计算机设备,1362432055.31,9.17,11.9673178084,78.96,39.565445501572,49.9672613158
47,300394,天孚通信,268.99,293421041766,292765501301,通信设备,11499354968.76,19.6,15.1492291388,12.04,33.922353315318,60.8695979509
48,300059,东方财富,18.39,290970255701,246285605370,证券Ⅱ,2475690011.9,8.46,53.220189051,80.64,44.848976215289,74.3927594104
49,600276,恒瑞医药,43.52,288850938516,277614178964,化学制药,1804072210.0,8.04,-1.9390022608,44.65,0.344554541292,86.3263460861
50,600150,中国船舶,37.79,284393228474,284393228474,航海装备Ⅱ,3394111546.0,6.71,26.005331272,99.54,163.508688638198,17.3661199239
51,000858,五 粮 液,69.26,268840170426,268833617461,白酒Ⅱ,1065690768.22,7.14,20.87072874,87.53,89.29986131838,80.2949204402
52,002916,深南电路,392.5,267357888538,260937709125,元件,2927750724.27,12.43,46.3282888807,22.51,65.546280171141,31.0149106719
53,603986,兆易创新,373.14,262679898271,250271836537,半导体,9915793006.0,23.13,178.6722977786,68.57,1091.4990564908,63.1304509177
54,300408,三环集团,129.88,259333808001,242850431464,元件,6083299544.39,8.61,54.824030357,19.32,56.17646712233,44.3196613034
55,601919,中远海控,16.38,250091854167,205676075487,航运港口,1550929649.0,5.7,2.5870029553,134.19,-23.47827216587,18.3392709861
56,688820,盛合晶微,134.11,249816634149,23187973453,半导体,1633042567.0,2.8,7.2006133293,4.49,3.326089767472,30.1400071353
