排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
1,688825,长鑫科技,9.7,74.75,,0.41,79.76,,55.1,1.62,45.72,13.16,27.76,52.63,56.657,,,-2.75,1.16,0.65,116.69,13.16,52.63,半导体
2,601398,工商银行,67.48,87.92,100.16,72.43,90.28,92.17,8.11,-0.25,7.73,95.74,0.73,69.44,8.009,7.684,1.0,1.26,0.9,0.69,18.38,96.78,93.72,银行Ⅱ
3,601939,建设银行,50.71,83.01,99.79,64.93,93.76,104.26,10.85,-0.73,8.19,97.26,0.79,73.51,10.829,10.325,1.0,0.19,0.77,0.65,8.66,99.09,99.17,银行Ⅱ
4,601288,农业银行,51.09,84.21,56.82,60.44,95.38,38.97,6.88,-0.29,8.08,91.86,0.84,83.77,6.885,6.588,1.0,-0.07,0.74,0.56,14.31,85.87,86.12,银行Ⅱ
5,601988,中国银行,61.41,91.58,103.82,65.37,95.24,103.35,6.56,-0.15,8.49,99.72,0.77,94.13,6.4,6.028,1.0,2.5,0.82,0.69,11.74,99.5,99.5,银行Ⅱ
6,600941,中国移动,-1.41,66.22,81.4,12.0,88.69,65.84,96.94,-0.87,15.95,52.72,1.48,33.51,98.278,94.951,1.0,-1.36,0.86,0.67,5.78,52.72,33.51,通信服务
7,601857,XD中国石,22.63,69.29,43.59,25.86,94.58,41.68,10.81,-0.37,11.24,46.03,1.21,85.1,10.927,10.274,1.0,-1.07,0.86,0.91,12.26,75.95,85.04,炼化及贸易
8,600519,贵州茅台,-3.92,15.8,32.39,1.85,63.08,39.7,1258.0,-1.16,19.31,1.99,6.26,2.22,1293.807,1279.83,1.0,-2.77,1.13,0.85,33.08,3.47,3.88,白酒Ⅱ
9,600938,中国海油,16.47,74.75,29.4,32.65,94.45,28.65,33.08,-1.11,11.36,83.19,1.84,74.98,33.801,31.485,1.0,-2.13,0.73,0.84,13.01,83.19,74.98,油气开采Ⅱ
10,300750,宁德时代,10.88,-4.47,-3.14,13.43,4.11,24.09,305.48,-3.44,16.63,3.83,3.73,2.64,353.988,373.552,0.0,-13.7,2.31,3.04,239.8,6.36,4.21,电池
