排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,00700,腾讯控股,110.13,100.36,21.22,492.2,0.94,17.02,,3.52,
2,03750,宁德时代,97.0,30.76,57.77,663.0,2.08,31.84,,7.02,
3,00005,汇丰控股,33.37,88.41,92.66,162.1,-2.64,14.77,,2.05,
4,01398,工商银行,9.34,85.93,72.88,7.21,-0.76,6.18,,0.58,
5,09988,阿里巴巴-W,106.66,103.39,30.83,128.1,1.83,20.94,,2.02,
6,00939,建设银行,11.81,82.81,74.8,8.8,-1.01,6.02,,0.57,
7,01288,农业银行,9.91,76.78,63.36,5.94,-1.0,6.31,,0.65,
8,00941,中国移动,33.26,86.41,54.04,82.7,0.24,11.81,,1.08,
9,00857,中国石油股份,-2.77,61.92,25.16,9.49,-1.61,9.79,,0.94,
10,03988,中国银行,2.54,71.75,78.45,5.27,-1.22,6.19,,0.55,
11,03968,招商银行,18.94,90.14,53.4,48.76,-1.42,7.29,,0.96,
12,00883,中国海洋石油,22.28,53.18,13.24,22.96,-2.63,7.8,,1.15,
13,02318,中国平安,61.02,103.1,16.08,58.0,0.26,7.08,,0.91,
14,02899,紫金矿业,80.74,109.09,20.91,35.2,6.41,13.56,,4.19,
15,01088,中国神华,-0.72,48.5,24.0,42.14,-0.09,15.49,,1.63,
16,01211,比亚迪股份,72.0,107.9,57.92,93.8,0.37,27.75,,3.26,
17,02628,中国人寿,88.68,54.72,32.39,29.26,2.74,5.12,,1.22,
18,01299,友邦保险,29.75,89.35,22.17,77.75,-0.38,16.58,,2.43,
19,00300,美的集团,49.64,106.83,88.99,97.55,0.62,15.02,,2.82,
20,01810,小米集团-W,6.88,75.83,25.74,27.64,-1.14,18.03,,2.38,
21,09999,网易,86.38,58.81,55.43,202.6,-1.46,16.97,,3.46,
22,03328,交通银行,17.78,72.15,72.97,7.33,-0.68,6.0,,0.49,
23,01658,邮储银行,1.85,66.07,32.95,4.87,-1.42,5.93,,0.5,
24,00981,中芯国际,46.37,3.32,41.51,68.0,4.13,107.48,,3.21,
25,03690,美团-W,85.59,115.71,73.78,93.05,0.38,-12.92,,3.38,
26,02359,药明康德,98.08,99.74,97.56,183.5,1.33,21.82,,5.67,
27,02388,中银香港,51.42,96.18,86.09,50.65,-0.49,13.35,,1.49,
28,00388,香港交易所,98.26,116.7,52.86,414.6,1.62,27.86,,9.53,
29,00386,中国石油化工股份,34.91,93.72,5.99,4.33,-0.46,12.81,,0.55,
30,02888,渣打集团,83.28,93.97,96.75,234.0,-0.43,12.14,,1.41,
31,02513,智谱,39.0,-7.43,24.03,1041.0,3.07,-93.19,,-4.68,
32,09633,农夫山泉,42.66,52.67,6.39,42.02,-1.45,26.9,,10.81,
33,00728,中国电信,9.2,44.02,17.38,4.59,-0.54,11.86,,0.79,
34,00998,中信银行,21.11,91.36,39.05,7.5,-0.99,5.23,,0.5,
35,06030,中信证券,13.22,61.41,49.5,27.28,0.74,10.72,,1.22,
36,03993,洛阳钼业,77.1,63.35,16.45,18.47,8.65,14.62,,3.93,
37,01276,恒瑞医药,64.6,66.86,13.75,58.3,1.13,42.56,,5.37,
38,02328,中国财险,60.38,83.92,47.65,16.0,-0.93,8.43,,1.07,
39,00016,新鸿基地产,54.15,74.68,40.72,121.7,-0.73,16.03,,0.57,
40,00267,中信股份,23.98,51.98,33.99,12.02,0.08,5.38,,0.4,
41,02259,紫金黄金国际,67.34,103.93,5.65,129.0,10.16,27.7,,5.3,
42,03986,兆易创新,44.23,-12.23,19.9,486.0,5.7,105.74,,11.9,
43,06809,澜起科技,17.59,-0.89,38.1,270.4,2.97,115.17,,14.0,
44,00992,联想集团,93.53,76.76,104.73,26.28,4.45,21.76,,5.45,
45,06160,百济神州,49.08,105.12,54.92,198.7,2.63,76.52,,9.02,
46,02338,潍柴动力,98.73,36.97,58.14,35.32,4.87,24.11,,2.85,
47,02601,中国太保,30.08,73.09,11.69,30.44,0.86,4.87,,0.81,
48,02378,保诚,52.35,95.78,41.68,113.7,-0.87,9.2,,1.85,
49,00001,长和,80.9,105.78,97.49,73.7,-0.41,23.84,,0.5,
50,00669,创科实业,101.88,95.82,105.11,143.8,8.12,25.81,,4.5,
51,02611,国泰海通,7.85,46.9,26.52,14.63,0.62,10.42,,0.7,
52,01347,华虹宏力,50.3,-2.81,47.03,141.5,4.74,437.58,,4.66,
53,01339,中国人民保险集团,54.54,96.44,10.7,5.43,0.74,5.09,,0.66,
54,01378,中国宏桥,57.03,61.33,-1.38,24.04,2.3,9.42,,1.63,
55,01109,华润置地,17.32,44.57,42.67,33.08,-1.02,8.38,,0.74,
56,01919,中远海控,-4.39,101.53,61.69,15.19,-0.26,8.24,,0.87,
57,02476,胜宏科技,74.17,5.28,5.81,221.2,16.18,41.52,,9.79,
58,09992,泡泡玛特,12.69,35.09,6.89,161.4,0.75,15.2,,8.79,
59,02020,安踏体育,-3.36,86.74,44.31,75.55,0.2,14.04,,2.9,
60,00175,吉利汽车,33.82,84.24,35.42,19.43,1.83,12.16,,1.94,
61,00762,中国联通,2.63,36.7,12.59,6.59,-0.75,9.1,,0.49,
62,00066,港铁公司,7.75,82.77,26.42,32.2,-0.37,13.66,,1.04,
63,06690,海尔智家,-9.35,70.86,15.77,21.06,0.0,9.42,,1.39,
64,01024,快手-W,104.95,63.78,-1.55,45.48,-0.09,10.05,,2.13,
65,06031,三一重工,71.37,84.65,26.46,21.16,0.67,20.6,,1.9,
66,00002,中电控股,3.02,90.88,88.37,76.45,-0.59,18.45,,1.79,
67,03692,翰森制药,12.6,60.77,4.75,31.42,0.06,30.98,,4.86,
68,03288,海天味业,33.92,90.47,38.34,32.34,0.31,23.15,,3.98,
69,06818,中国光大银行,3.8,46.15,21.4,3.11,-0.8,4.33,,0.32,
70,02714,牧原股份,10.59,73.89,6.83,31.4,-0.7,16.62,,1.86,
71,00788,中国铁塔,63.79,107.84,20.39,9.96,0.81,13.62,,0.78,
72,06936,顺丰控股,28.01,108.73,56.28,33.04,-0.06,13.63,,1.46,
73,01113,长实集团,35.23,98.1,61.61,48.18,0.58,15.55,,0.43,
74,02269,药明生物,87.08,103.62,69.97,40.62,0.4,30.97,,3.21,
75,01801,信达生物,61.35,70.9,58.43,90.3,4.15,174.53,,7.31,
76,01038,长江基建集团,14.34,99.95,59.29,61.75,-0.32,18.82,,1.22,
77,01377,鼎泰高科,94.49,36.01,,366.0,7.65,222.81,,45.66,
78,02423,贝壳-W,107.15,86.29,54.4,44.6,-0.36,40.54,,2.16,
79,09973,奇瑞汽车,92.04,76.04,28.45,26.54,-0.52,7.43,,2.47,
80,01336,新华保险,72.35,56.82,9.2,49.06,2.25,3.72,,1.09,
81,01988,民生银行,4.44,95.25,27.99,3.48,-1.13,4.61,,0.23,
82,06886,华泰证券,32.32,50.36,22.85,16.9,0.66,7.77,,0.76,
83,03606,福耀玻璃,57.98,100.28,40.15,57.85,0.35,15.02,,3.41,
84,01766,中国中车,66.12,76.54,30.58,5.2,0.19,9.87,,0.75,
85,02600,中国铝业,81.6,37.63,-5.89,8.64,3.04,9.01,,1.62,
86,00027,银河娱乐,66.75,106.7,18.43,33.6,0.96,13.79,,1.77,
87,02057,中通快递-W,75.55,90.52,65.85,190.8,-0.42,14.15,,2.09,
88,01816,中广核电力,35.14,65.31,6.19,2.88,-1.87,13.67,,1.02,
89,00688,中国海外发展,1.86,26.85,32.12,13.2,-0.38,10.28,,0.34,
90,01898,中煤能源,-3.73,27.38,-3.26,10.44,-0.29,8.6,,0.75,
91,01972,太古地产,80.41,108.95,39.48,24.0,-0.17,-90.14,,0.51,
92,00012,恒基地产,47.5,86.39,16.31,28.26,0.86,24.2,,0.42,
93,01776,广发证券,52.96,50.71,47.25,17.27,1.23,7.72,,0.87,
94,00358,江西铜业股份,78.99,69.86,16.75,38.08,7.33,14.27,,1.38,
95,09903,天数智芯,48.15,8.18,47.24,484.2,1.04,-117.29,,42.54,
96,09987,百胜中国,79.78,97.93,37.92,379.0,-0.47,17.14,,3.11,
97,06099,招商证券,54.58,2.04,42.66,14.95,1.01,8.74,,0.92,
98,00003,香港中华煤气,-16.58,75.36,20.8,6.83,-1.09,22.41,,2.15,
99,06618,京东健康,70.47,104.42,1.8,39.36,0.41,21.09,,1.9,
100,00006,电能实业,8.67,83.21,40.81,58.2,0.0,19.89,,1.37,
